potds,score
80,84
73,84
110,68
46,70
102,98
87,91
29,60
64,87
97,80
37,61
70,53
83,80
105,89
57,63
78,73
3,54
87,93
43,81
109,103
80,79
34,77
50,80
89,75
34,58
96,87
84,58
76,78
95,87
103,94
58,71
99,67
50,58
78,63
125,89
70,76
12,59
55,77
95,83
96,70
58,63
70,81
79,94
118,78
49,49
80,83
58,70
53,82
19,67
20,48
48,73
103,79
110,91
71,65
54,54
29,60
88,89
45,66
84,71
113,102
131,98
53,61
112,87
45,60
65,73
41,47
100,104
96,70
95,83
56,70
36,66
50,67
83,68
72,53
104,84
69,73
57,75
44,57
103,97
122,91
113,83
72,78
26,61
106,89
49,47
91,89
106,81
64,75
67,66
110,99
62,90
106,84
80,61
63,81
134,90
105,84
100,100
73,72
90,96
68,81
99,99
89,74
20,50
58,70
94,80
82,91
55,67
56,79
81,91
90,86
43,60
