potds,score
75,98
34,57
61,69
61,74
85,80
31,63
71,64
121,72
69,63
34,79
81,84
73,63
85,84
115,96
17,71
67,71
62,68
98,84
89,83
13,58
61,93
55,88
35,58
62,88
70,82
65,87
44,84
59,84
57,86
65,85
42,84
60,75
52,70
108,90
42,55
64,73
37,69
53,73
91,70
52,59
90,71
74,84
38,72
113,91
87,77
61,80
32,63
84,77
77,75
95,70
40,53
44,70
56,59
85,71
101,81
85,70
130,100
33,73
86,67
96,97
36,63
38,65
77,88
89,76
111,97
117,97
68,88
75,62
90,64
96,66
107,83
84,91
60,74
79,49
82,68
88,68
100,91
48,55
60,76
109,94
72,65
41,69
73,74
43,74
73,83
72,86
86,59
113,95
32,52
41,49
102,69
57,64
92,73
20,71
96,99
71,77
88,64
64,75
89,79
62,64
95,78
60,84
97,88
