potds,score
28,52
81,81
33,62
56,50
118,94
53,49
110,98
112,91
34,65
101,86
65,72
21,56
42,74
125,98
83,87
66,70
30,59
68,75
60,58
11,64
79,70
91,71
95,63
74,65
60,64
90,95
117,101
80,56
78,81
61,63
84,80
96,91
86,99
71,76
79,82
77,95
83,84
99,76
74,70
49,61
79,79
109,90
43,77
94,53
111,102
80,91
78,71
45,82
90,85
7,58
39,52
75,79
69,60
130,84
4,63
27,74
114,101
61,52
117,94
106,86
47,74
46,86
35,70
130,87
95,88
64,59
37,62
28,53
77,73
50,89
90,90
68,77
77,75
116,87
118,76
62,89
97,67
49,75
32,54
98,98
8,56
100,91
56,90
99,74
112,76
101,80
75,79
70,77
42,88
75,85
94,70
85,59
90,71
64,86
72,89
51,66
37,77
16,57
67,73
76,52
109,88
89,80
93,64
69,78
21,43
47,78
68,76
111,73
113,84
82,79
86,82
92,60
101,82
108,80
47,60
71,95
70,75
88,71
27,55
87,82
27,45
112,91
60,58
29,70
56,74
59,69
117,82
60,73
110,95
