autogrades,score
5,92
13,99
4,86
3,72
6,80
5,99
5,85
6,70
5,78
12,80
11,97
6,66
7,70
12,98
8,87
9,71
11,86
10,98
9,98
6,88
4,75
5,81
11,71
10,72
7,79
8,65
5,67
11,67
9,100
4,65
5,97
4,81
7,88
4,68
10,85
12,84
10,76
2,69
4,79
5,81
7,66
10,94
10,95
6,84
8,99
6,99
6,88
10,85
4,76
8,68
4,76
3,70
13,94
5,95
5,83
10,89
11,83
9,71
10,67
2,66
7,90
11,81
10,97
9,93
8,71
6,96
12,84
6,65
2,72
3,68
13,98
3,75
10,65
5,71
11,78
5,98
8,84
12,95
6,95
7,69
11,92
8,70
8,96
5,93
9,78
8,90
7,81
5,79
6,68
6,86
7,85
2,69
12,86
11,70
2,65
8,79
4,73
7,73
9,100
11,94
5,74
6,81
9,75
10,91
9,89
6,70
9,93
12,85
7,92
5,65
5,99
8,94
10,78
4,66
12,82
11,70
7,96
11,95
2,65
6,83
5,78
11,86
5,87
6,78
4,75
8,69
7,93
9,89
8,89
3,70
10,79
11,87
13,91
4,71
10,90
10,98
10,99
7,92
10,65
11,66
11,78
9,69
11,68
10,79
10,96
12,91
5,77
4,87
6,100
10,91
6,95
8,83
6,91
6,96
11,68
12,79
7,91
6,84
6,99
2,67
8,90
5,83
2,65
6,99
11,81
12,83
2,66
6,67
9,100
10,70
10,78
10,95
6,74
9,83
10,93
12,99
9,87
10,69
10,79
2,74
5,87
7,81
8,87
3,65
10,76
8,87
6,96
4,82
12,89
6,86
8,83
5,93
8,85
6,71
7,79
9,87
7,72
5,95
9,87
12,90
9,99
7,68
12,96
2,66
9,73
13,99
8,79
5,91
6,95
13,99
4,86
6,78
12,77
10,84
9,96
2,67
10,70
4,86
8,74
12,88
8,75
10,98
6,98
6,94
6,96
10,80
5,77
10,73
10,77
12,98
10,87
10,69
10,88
4,86
5,83
7,67
8,95
10,84
7,66
6,73
3,66
7,75
11,93
5,67
12,96
9,83
6,65
4,82
10,73
6,90
12,90
10,96
4,72
11,90
4,73
8,100
9,84
9,86
2,67
8,65
7,86
4,67
12,82
3,67
12,87
12,94
6,73
11,73
12,78
8,78
12,89
5,100
4,74
2,70
5,87
13,96
6,99
6,80
6,77
9,72
8,77
10,66
2,74
10,90
10,90
10,93
7,92
8,97
9,82
11,92
6,79
3,66
5,100
5,84
6,82
3,70
10,100
10,92
9,75
10,88
13,92
5,79
7,78
8,82
8,97
6,79
9,95
5,77
2,65
11,81
11,85
12,83
11,73
11,66
11,97
4,78
4,71
8,83
10,74
11,97
3,68
12,93
8,75
10,65
7,67
4,72
11,93
7,78
7,74
9,88
7,95
5,81
3,73
10,83
11,76
4,81
10,65
10,98
11,97
11,65
7,87
10,86
6,99
10,73
8,81
7,89
10,80
10,85
8,79
12,89
5,71
4,68
7,89
11,91
2,71
11,98
8,75
9,84
8,80
6,96
7,75
4,77
13,93
8,86
8,81
7,87
10,87
8,79
2,70
5,72
6,75
8,75
4,75
8,76
4,80
8,67
11,92
12,88
9,88
9,71
8,80
3,72
8,90
9,77
7,81
11,99
5,90
4,78
