autogrades,score
3,50
9,50
6,80
4,61
12,76
4,53
2,72
1,47
6,70
7,46
5,81
2,45
6,74
12,85
2,68
12,96
8,56
11,97
2,58
8,82
2,51
8,58
6,56
3,52
2,59
12,99
12,98
1,54
5,49
6,100
11,89
5,58
9,62
9,54
11,71
6,99
8,91
2,56
8,61
12,81
2,68
9,71
7,88
8,46
12,85
6,87
2,55
6,95
6,52
4,87
10,65
6,97
7,48
3,50
9,99
8,88
11,95
9,73
2,70
3,45
10,63
5,97
12,93
8,62
7,53
7,45
10,65
10,96
7,61
3,74
7,80
8,65
8,89
5,66
3,59
8,77
2,64
1,47
10,72
11,83
5,91
2,60
9,91
6,77
2,45
4,85
8,79
7,89
3,75
10,96
7,51
9,46
4,62
4,83
4,79
1,57
13,95
11,80
6,54
6,46
4,67
8,74
9,60
2,48
8,62
5,84
5,92
9,55
9,47
4,81
11,72
8,76
2,53
3,49
5,77
10,72
4,46
2,56
8,48
6,97
4,54
3,67
3,52
7,67
8,84
7,80
10,62
7,54
9,98
