potds,score
72,72
77,68
36,66
100,92
95,96
84,99
73,86
63,72
74,74
75,99
93,80
43,99
43,60
63,100
70,78
80,80
101,87
45,96
63,69
73,85
116,87
34,67
103,70
73,64
28,50
55,68
55,79
73,82
58,78
77,80
94,67
99,97
89,76
91,88
86,90
20,66
83,70
97,55
83,70
88,61
85,98
84,87
86,65
34,71
81,50
77,86
25,79
74,70
124,98
33,80
110,66
60,98
43,88
53,75
34,81
67,71
75,92
98,72
83,87
82,79
84,79
48,65
86,67
80,67
74,67
48,100
101,98
16,65
61,97
47,81
48,76
49,88
84,96
39,68
112,85
46,94
79,84
53,81
99,81
56,61
106,100
93,67
87,85
103,76
103,69
103,79
91,81
99,66
74,86
99,89
95,68
102,88
88,66
79,65
77,71
86,94
69,95
66,62
120,93
78,75
69,95
94,68
65,84
104,99
54,94
113,73
124,99
70,99
61,88
100,64
50,69
65,85
53,76
94,92
118,76
88,68
100,76
62,95
71,70
45,94
103,95
30,83
49,89
39,83
69,71
92,70
75,95
77,71
76,80
77,67
80,66
112,73
61,72
61,50
61,91
107,84
71,98
43,82
58,81
38,72
87,84
24,90
29,61
101,75
104,93
77,46
69,65
104,81
120,97
64,97
64,64
81,92
113,75
115,96
65,74
77,93
85,89
93,71
87,96
53,53
103,69
77,98
85,84
81,99
35,95
59,86
108,86
60,65
94,85
69,72
120,48
110,72
112,68
64,77
74,95
78,96
49,87
92,86
39,98
65,88
97,64
31,73
37,63
66,75
31,91
112,47
91,65
54,68
78,80
103,80
81,71
84,78
90,98
97,84
81,74
114,79
60,95
34,70
112,95
36,69
99,88
61,92
88,70
58,47
100,98
82,81
60,71
101,46
86,96
80,93
76,97
69,94
72,75
74,95
91,69
97,97
78,78
54,90
65,81
70,47
71,47
109,65
112,81
41,79
102,85
86,58
124,96
88,68
72,79
21,45
43,86
42,74
121,47
125,85
68,78
72,71
48,85
67,72
96,78
74,73
68,83
90,69
59,86
88,98
67,90
98,51
82,70
49,89
35,80
45,71
75,91
66,65
127,79
90,73
108,73
74,100
71,100
86,65
82,85
83,68
53,94
69,50
83,61
78,94
64,72
66,96
71,74
63,81
61,100
67,71
102,74
121,92
122,84
40,92
46,82
60,92
94,53
92,75
128,91
105,72
81,89
70,70
30,56
56,62
84,93
57,79
34,90
16,76
40,85
37,92
117,65
56,84
48,70
57,99
68,97
60,58
102,94
81,59
53,78
90,66
40,82
74,83
115,88
101,100
11,82
72,74
54,57
105,70
78,84
53,96
73,52
66,91
117,95
41,85
52,69
85,56
129,72
63,65
122,83
26,78
79,51
73,86
56,92
66,73
57,88
3,70
70,67
91,73
114,77
111,87
115,92
78,76
95,78
58,78
52,74
112,77
71,94
116,75
90,95
126,69
43,67
45,51
17,95
74,93
74,89
102,89
31,95
64,100
83,70
85,70
32,73
54,79
86,54
115,76
104,87
86,81
92,91
67,58
91,58
80,91
63,88
63,71
54,95
101,90
95,56
74,52
67,84
67,73
58,74
82,98
104,99
115,92
52,65
60,59
69,66
63,92
62,78
65,54
79,69
87,88
122,68
113,79
88,77
56,96
112,76
55,90
73,86
86,91
73,77
66,87
62,46
43,97
109,74
60,100
14,82
62,100
101,85
48,91
80,79
34,93
32,95
90,99
113,83
50,86
82,60
70,77
36,91
49,96
62,90
57,68
68,81
60,79
69,99
54,96
94,68
51,91
109,80
99,70
39,66
60,75
84,67
44,94
62,81
89,53
97,84
109,89
98,92
99,99
77,45
34,92
89,86
112,89
102,48
114,67
117,98
96,55
71,85
38,90
65,93
25,71
73,83
60,65
62,65
67,93
127,99
98,93
59,65
69,81
116,83
65,98
45,66
56,67
103,100
53,72
111,70
84,50
78,78
106,76
50,95
54,65
66,74
97,88
67,83
46,64
86,93
48,99
108,87
87,69
61,70
46,99
32,90
37,47
71,79
77,74
82,87
124,67
65,88
97,77
