potds,score
28,50
81,50
33,80
56,61
118,76
53,53
110,72
112,47
34,70
101,46
65,81
21,45
42,74
125,85
83,68
66,96
30,56
68,97
60,58
11,82
79,51
91,58
95,56
74,52
60,59
90,99
117,98
80,54
78,49
61,100
84,89
96,58
86,62
71,54
79,71
77,99
83,91
99,56
74,61
49,81
79,68
109,71
43,88
94,46
111,85
80,87
78,55
45,95
90,52
7,87
39,65
75,97
69,48
130,50
4,99
27,88
114,95
61,73
117,70
106,45
47,63
46,97
35,93
130,62
95,53
64,45
37,65
28,96
77,61
50,74
90,80
68,65
77,89
116,66
118,59
62,77
97,64
49,47
32,72
98,83
8,91
100,60
56,91
99,77
112,45
101,85
75,79
70,89
42,75
75,96
94,51
85,46
90,62
64,83
72,79
51,57
37,95
16,80
67,54
76,46
109,67
89,74
93,60
69,48
21,62
47,84
68,92
111,55
113,47
82,81
86,72
92,76
101,53
108,49
47,77
71,72
70,46
88,56
27,48
87,97
27,54
112,67
60,52
29,67
56,84
59,80
117,62
60,54
110,98
