autogrades,score
11,76
13,91
2,56
6,59
6,65
9,87
5,100
6,57
9,100
8,52
6,100
7,29
7,71
2,66
5,52
9,71
4,80
10,100
4,46
9,73
6,75
11,82
10,79
7,100
8,89
4,63
9,68
6,89
7,54
11,71
4,63
6,90
3,60
2,65
7,28
9,80
5,44
6,85
10,64
4,37
11,98
11,77
4,58
9,63
9,76
5,55
8,82
2,66
7,86
8,77
9,45
12,98
8,47
10,83
7,71
2,64
9,77
8,37
6,53
7,74
10,88
4,64
2,54
5,100
10,99
3,68
7,71
3,56
6,35
5,100
4,83
9,76
6,53
13,94
1,59
4,75
11,63
6,67
11,100
10,99
10,100
9,50
7,100
2,51
8,100
2,60
6,73
8,62
8,60
6,79
9,80
2,35
6,94
6,97
9,84
6,60
7,73
2,58
10,88
8,90
9,42
7,67
8,100
6,88
2,72
2,64
8,27
11,100
3,66
4,66
9,69
9,69
4,80
