potds,score
72,66
36,76
95,98
74,88
63,100
70,80
101,86
63,70
116,100
55,57
55,90
94,65
89,96
91,68
86,83
86,56
25,74
74,63
75,98
83,100
84,66
86,71
101,83
48,76
84,93
53,80
99,86
106,90
99,71
99,100
95,86
79,84
69,100
78,63
94,50
54,100
113,73
124,99
50,56
94,98
62,100
92,78
75,100
77,79
76,91
112,91
61,90
107,77
71,80
43,96
58,87
38,75
101,69
104,93
69,82
64,91
81,100
113,58
115,100
65,66
103,59
77,83
81,87
35,80
59,76
94,76
64,67
74,98
78,85
49,97
92,95
65,96
31,73
54,48
78,67
103,78
99,70
100,95
82,73
60,89
76,92
69,89
72,56
74,87
91,81
97,100
109,63
102,84
72,97
68,94
72,81
67,62
96,62
74,84
68,91
67,78
49,100
35,81
45,89
75,100
86,69
82,74
53,88
61,100
67,52
102,62
121,92
40,85
46,68
60,100
56,94
48,77
115,85
72,81
52,53
129,57
56,99
66,73
70,66
91,60
114,57
78,89
95,69
52,76
112,95
71,100
90,100
43,66
31,99
64,100
85,52
115,62
86,61
80,77
54,85
67,62
58,72
63,100
88,69
112,68
73,79
60,90
14,63
101,85
70,61
68,84
69,92
54,87
94,80
109,69
99,60
39,69
60,62
84,61
44,100
109,97
112,93
65,95
25,64
60,72
98,90
59,47
106,75
54,50
97,84
46,84
124,69
65,68
97,72
51,100
116,77
87,76
31,92
115,92
98,53
90,71
112,84
64,88
120,91
49,100
94,100
61,100
49,74
60,85
81,61
113,65
63,78
79,72
58,70
51,100
57,71
48,100
44,100
30,73
65,74
113,81
62,100
46,82
86,100
107,49
100,80
119,74
48,77
122,81
87,59
117,81
90,93
82,80
93,100
87,94
88,54
66,100
57,83
83,71
63,100
70,84
35,61
103,85
60,84
116,95
48,98
56,97
80,91
73,74
76,74
77,96
75,72
79,66
57,100
100,73
78,55
61,83
76,63
67,76
59,87
108,81
57,63
62,53
93,88
119,95
117,94
57,98
54,82
60,100
100,71
73,83
110,96
101,75
32,100
107,85
71,95
64,100
78,87
96,100
60,100
134,52
94,85
38,63
98,97
58,98
44,100
60,80
75,100
87,86
64,67
86,48
33,98
106,80
70,91
52,91
91,69
108,100
62,92
76,86
105,98
127,77
75,92
71,79
41,67
53,81
111,65
68,84
111,98
91,95
71,100
81,94
85,62
47,75
90,73
77,89
89,69
69,74
70,92
41,88
98,100
58,72
85,75
77,58
89,68
78,80
41,46
53,100
71,69
67,86
71,82
44,71
73,100
113,81
85,86
62,65
118,78
41,75
123,69
98,77
60,84
113,83
105,76
75,88
113,98
58,95
103,76
57,61
83,84
63,97
107,57
82,96
77,67
116,94
86,89
114,70
78,56
114,70
78,94
72,100
73,100
89,61
57,68
95,87
56,84
32,99
43,68
64,97
56,100
92,73
71,84
56,100
60,72
63,83
81,100
51,59
66,99
78,100
41,58
83,68
68,99
64,100
18,79
117,77
62,74
79,99
89,89
57,80
82,72
112,95
22,83
87,82
35,83
67,82
89,75
67,87
51,80
82,93
74,66
42,60
69,77
83,99
36,95
78,100
64,86
41,91
67,61
107,68
63,100
49,97
61,81
83,87
68,59
46,96
47,85
89,65
75,76
103,64
51,72
59,75
112,65
105,82
74,94
87,63
72,66
71,100
113,64
60,73
119,78
49,97
120,64
70,78
79,88
30,93
65,63
120,90
87,82
83,79
62,60
41,85
105,97
96,100
112,64
98,96
105,83
88,83
92,87
67,100
97,78
61,88
39,62
24,92
103,74
38,95
34,100
48,72
74,92
66,83
73,92
56,79
84,71
94,100
117,100
94,78
72,69
88,81
101,94
71,82
106,93
56,77
78,93
81,62
72,100
87,100
73,94
106,100
98,96
96,78
95,58
51,95
103,91
90,85
57,83
103,88
108,74
60,72
72,74
49,85
106,100
50,81
53,78
108,91
62,100
115,63
41,96
93,91
49,100
31,75
49,96
70,61
123,100
46,68
54,100
131,100
70,85
66,91
52,74
70,94
27,94
108,93
52,91
107,65
45,100
115,97
103,66
126,100
20,99
59,83
54,68
54,100
112,76
56,100
42,85
67,81
32,78
105,75
53,83
127,72
91,100
118,86
84,81
108,90
85,92
61,93
82,52
34,60
35,80
62,51
57,96
47,56
49,66
52,82
31,100
80,91
100,100
57,100
57,80
46,66
117,83
48,90
89,93
99,100
40,92
89,63
42,100
72,80
104,86
121,76
80,100
28,70
116,79
68,85
54,75
86,67
83,80
53,64
24,96
77,60
55,100
59,93
58,83
47,89
68,60
109,75
45,71
72,99
73,59
85,55
99,70
65,81
110,80
96,78
93,79
70,80
66,89
60,98
104,63
119,77
95,80
98,92
96,76
75,90
38,47
106,59
81,75
40,88
88,99
86,100
40,60
73,90
52,74
59,100
112,73
93,85
60,96
56,60
69,100
63,81
69,93
103,77
48,100
24,100
52,100
86,73
76,88
122,85
49,100
35,73
60,53
83,72
53,68
74,76
76,87
80,92
101,99
67,100
38,81
77,66
88,84
60,100
77,87
77,78
91,73
94,84
74,91
83,88
59,56
87,81
50,67
56,67
107,100
111,56
87,58
111,98
104,85
84,100
57,74
58,83
112,90
86,79
90,98
130,90
18,67
45,79
78,96
67,73
91,100
71,88
32,94
75,94
53,76
70,67
106,48
86,86
72,60
57,87
87,100
95,81
42,93
71,94
64,55
75,64
81,55
81,61
36,91
78,85
76,83
107,91
100,67
114,100
63,96
100,100
105,73
99,95
76,87
53,100
44,82
71,83
121,100
86,68
59,98
92,100
36,95
68,100
92,54
31,71
125,88
72,63
103,93
84,63
98,100
19,70
69,78
30,99
42,88
69,82
65,58
78,85
66,78
80,54
62,100
71,83
92,61
62,85
92,87
50,65
91,76
105,100
92,89
103,63
99,91
58,79
101,86
113,93
88,52
70,81
116,88
95,74
64,100
107,77
65,83
61,87
49,65
103,70
92,81
71,91
99,88
93,85
51,87
62,68
108,74
50,86
26,75
86,74
42,83
41,81
78,73
49,86
31,68
39,92
130,81
112,74
47,96
