autogrades,score
6,82
11,77
8,26
7,54
3,47
5,95
4,77
5,100
10,82
12,80
5,69
4,74
7,86
9,56
11,83
11,100
6,90
6,55
11,84
5,83
11,95
5,66
6,96
12,90
6,58
10,100
7,43
7,46
13,98
7,80
6,79
12,92
3,62
13,91
5,57
6,100
10,91
8,72
5,100
4,68
8,65
5,100
5,100
10,89
11,100
6,39
10,73
1,27
9,84
10,96
2,63
9,67
6,99
9,79
8,79
8,60
9,35
9,100
5,88
4,56
2,75
11,96
6,100
4,34
11,84
6,85
9,64
10,87
2,64
4,79
12,84
12,100
2,58
7,100
9,60
9,100
6,73
3,53
4,43
8,79
13,94
4,24
4,56
8,86
4,57
4,79
11,90
4,60
7,30
7,87
10,93
10,85
7,77
8,91
12,85
9,58
2,33
4,77
12,91
5,87
9,59
1,59
7,72
6,60
5,63
9,71
6,56
5,66
6,90
2,58
4,9
10,83
9,63
6,91
11,98
5,61
11,72
8,98
11,76
7,100
10,76
3,49
7,48
4,87
8,80
12,94
5,70
11,97
5,95
9,60
5,73
2,73
8,46
8,65
10,86
6,95
8,72
7,100
11,61
8,68
4,18
7,51
11,72
12,88
13,92
10,84
9,91
3,71
3,48
9,74
7,62
9,88
12,77
12,94
11,100
5,79
6,85
9,55
10,90
7,30
8,100
9,100
7,54
1,55
7,52
8,87
11,67
8,77
13,100
7,71
5,100
3,73
4,41
3,71
3,51
6,62
6,41
9,67
5,77
6,100
6,92
10,80
7,82
9,38
7,51
10,99
7,83
7,89
4,80
5,77
4,75
13,99
6,88
8,82
11,87
10,74
9,44
11,64
13,95
4,69
10,75
5,100
5,86
9,76
6,72
9,80
8,86
10,97
9,92
10,81
9,65
11,100
7,75
8,80
10,96
7,100
6,95
8,57
8,96
8,89
6,80
5,100
10,68
6,28
6,60
9,69
8,85
8,100
7,31
7,100
6,49
6,54
13,100
13,100
11,78
7,93
2,58
11,80
3,49
2,36
13,100
11,97
8,90
1,55
3,74
10,100
6,81
4,61
6,49
4,76
5,94
1,54
9,51
11,63
8,59
5,97
6,80
9,87
8,94
10,100
10,96
12,89
9,73
11,96
7,100
6,69
9,85
11,93
10,96
5,75
6,83
11,98
1,46
9,74
6,95
9,91
4,69
6,68
6,99
7,66
9,85
8,93
13,100
12,100
11,95
11,93
7,100
8,46
2,43
8,100
4,85
9,62
7,98
7,65
5,61
5,44
7,41
10,73
9,90
8,100
6,78
2,20
9,83
7,86
9,47
8,70
6,55
8,64
9,58
7,57
6,67
11,85
7,91
10,88
11,71
5,90
11,91
12,92
8,78
8,100
3,65
8,82
8,94
4,49
13,100
9,65
8,57
10,87
8,95
7,19
13,100
11,100
12,83
4,86
8,83
12,100
3,75
10,100
6,92
10,84
4,83
1,47
2,38
8,97
9,50
9,88
2,49
10,82
7,89
10,100
4,58
12,99
7,76
10,61
5,81
7,37
8,71
4,55
9,100
7,86
5,100
9,82
6,80
6,70
2,48
4,77
4,69
5,53
7,66
10,98
6,71
7,96
5,84
8,76
6,90
8,85
6,100
9,72
2,67
5,88
2,43
5,48
5,64
13,94
8,57
11,62
7,44
6,89
5,100
8,81
8,92
8,97
9,97
4,70
8,99
8,94
9,97
13,100
10,65
8,73
7,90
12,91
3,64
7,94
9,82
5,84
4,76
10,78
8,100
11,100
11,90
13,100
9,69
4,80
2,60
6,60
2,48
10,89
8,83
