autogrades,score
1,34
9,96
8,90
4,69
8,60
10,63
7,98
6,62
7,82
9,84
6,77
13,100
7,81
7,58
5,81
11,96
5,88
6,86
4,34
8,65
11,100
4,24
11,90
6,88
8,54
5,67
13,94
9,83
7,48
9,64
10,72
7,67
11,72
4,53
2,73
12,94
2,53
12,85
5,100
8,90
4,67
11,100
5,23
10,97
7,73
3,57
9,78
8,46
1,53
7,63
13,93
6,65
4,69
9,78
12,79
10,95
7,64
1,54
6,100
2,62
7,31
10,93
9,100
8,79
4,85
11,97
5,50
7,81
12,76
7,63
5,61
1,56
9,100
6,40
6,74
8,81
8,84
7,100
13,100
3,38
2,43
6,83
7,60
9,93
7,41
6,63
11,87
7,80
11,97
2,54
5,57
7,39
3,61
10,84
3,56
12,100
1,52
6,99
6,70
1,60
9,62
6,85
8,84
9,50
8,76
6,100
8,50
8,98
4,80
6,60
