potds,score
80,83
73,90
110,44
46,63
102,80
87,62
29,83
64,67
97,50
37,52
70,44
83,65
105,78
57,56
78,62
3,68
87,95
43,84
109,99
80,83
34,100
50,100
89,43
34,75
96,80
84,30
76,91
95,72
103,63
58,86
99,44
50,35
78,44
125,44
70,66
12,95
55,83
95,96
96,33
58,100
70,68
79,73
118,41
49,61
80,53
58,61
53,73
19,71
20,67
48,82
103,67
110,71
71,60
54,51
29,92
88,76
45,27
84,53
113,100
131,74
53,67
112,70
45,95
65,100
41,57
100,89
96,49
95,59
56,54
36,53
50,36
83,41
72,61
104,76
69,47
57,37
44,66
103,98
122,64
113,59
72,84
26,100
106,63
49,49
91,68
106,92
64,78
67,70
110,98
62,85
106,28
80,72
63,100
134,65
105,51
100,100
73,47
90,86
68,73
99,100
89,72
20,44
58,94
94,71
82,68
55,71
56,31
81,86
90,100
43,66
