potds,score
43,34
45,96
97,90
77,69
100,60
81,63
114,98
58,62
86,82
124,84
88,77
71,100
122,81
74,58
66,81
41,96
57,88
45,86
86,34
65,65
55,100
102,24
65,90
79,88
126,54
60,67
46,94
74,83
66,48
45,64
58,72
77,67
47,72
89,53
51,73
57,94
91,53
36,85
92,100
85,90
80,67
115,100
81,23
59,97
43,73
66,57
93,78
74,46
69,53
88,63
74,93
113,65
74,69
71,78
72,79
65,95
72,64
110,54
105,100
127,62
95,31
11,93
41,100
107,79
90,85
56,97
69,50
116,81
93,76
25,63
102,61
110,56
33,100
58,40
73,74
47,81
55,84
89,100
87,100
63,38
40,43
111,83
57,60
79,93
69,41
133,63
66,87
64,80
127,97
67,54
95,57
0,39
68,61
111,84
92,56
113,100
74,52
93,99
33,70
43,60
83,62
70,85
34,84
31,50
79,76
79,100
80,50
72,98
100,80
23,60
