autogrades,score
3,72
7,55
4,90
7,99
13,94
6,91
12,78
7,80
9,89
9,90
6,91
6,100
1,41
13,100
10,79
12,82
12,100
5,99
6,60
10,78
7,100
9,52
7,80
4,80
3,24
6,57
6,54
4,73
8,48
5,65
2,43
6,100
5,100
3,61
7,95
6,72
6,73
8,74
7,48
7,35
8,100
8,80
2,27
6,91
6,50
9,57
8,48
6,67
10,100
11,64
2,31
7,83
6,80
4,54
6,87
3,66
8,82
6,81
8,73
7,67
10,69
6,95
5,72
4,79
5,96
11,100
7,100
12,76
5,84
10,100
9,56
10,100
12,95
1,54
5,86
2,70
11,86
9,76
11,100
3,23
9,80
6,39
8,93
9,70
4,77
11,65
6,71
11,62
6,84
9,100
4,69
11,66
3,60
4,74
4,60
3,67
9,100
11,80
10,100
6,51
9,70
10,68
5,69
13,100
10,83
2,67
13,97
9,100
5,49
8,45
5,56
5,82
6,100
10,94
9,85
4,68
2,49
6,93
8,81
9,94
10,100
6,91
13,100
2,57
10,79
9,61
12,81
7,62
9,100
2,60
6,78
9,94
4,57
2,46
4,78
10,66
9,76
11,100
6,74
11,74
7,44
9,100
6,98
7,54
11,100
6,29
6,100
1,52
8,100
3,64
9,70
12,100
4,49
6,100
3,64
8,100
7,99
7,42
7,76
2,53
11,61
9,85
6,43
6,87
6,78
8,63
12,93
1,54
7,100
6,83
1,44
11,92
1,34
9,64
8,99
5,90
11,100
7,99
8,92
5,100
1,43
7,70
2,46
1,27
12,87
7,75
6,56
7,59
1,51
8,75
6,85
5,96
6,100
9,75
3,48
8,92
7,100
8,88
11,98
10,87
10,67
8,63
2,50
4,77
13,100
8,33
10,92
8,75
9,91
4,71
12,96
9,77
7,80
8,85
2,66
10,96
6,60
5,94
3,74
3,47
2,42
6,68
2,62
8,85
4,71
9,70
9,87
7,100
11,86
10,74
5,92
6,86
6,3
10,84
9,98
10,67
9,87
4,61
9,45
10,98
10,97
8,23
12,93
7,57
2,73
9,72
5,41
10,100
11,73
12,92
11,100
8,37
5,75
9,77
5,100
9,100
6,94
10,72
6,67
7,53
7,81
4,10
1,59
8,93
9,89
3,68
6,85
10,85
4,79
11,66
9,47
6,79
12,100
9,100
1,54
8,97
2,31
4,79
11,72
6,83
8,100
13,91
5,48
11,78
10,88
2,41
6,93
4,64
5,81
12,87
6,40
10,100
12,89
9,100
2,51
1,57
2,50
3,67
7,98
7,69
12,88
4,78
7,86
9,97
9,77
7,59
2,48
4,82
7,54
11,100
7,38
11,62
5,90
9,92
7,23
7,100
9,70
7,65
4,81
7,69
7,54
9,85
9,89
9,52
12,95
8,83
9,53
9,27
10,63
11,74
6,94
6,83
8,77
3,57
6,81
10,87
5,100
7,99
7,84
1,41
1,46
5,92
6,91
5,88
12,98
11,96
6,100
5,82
9,93
11,61
11,65
10,77
5,31
2,37
10,73
2,49
5,97
1,23
3,74
9,93
9,86
6,59
8,46
7,94
1,29
5,23
12,82
5,61
7,48
7,78
12,100
10,72
7,39
3,40
6,66
8,100
9,74
6,81
5,66
7,75
7,44
1,60
10,96
7,80
9,47
7,100
2,55
7,100
6,86
7,69
8,73
10,80
11,84
6,100
6,44
11,100
9,89
12,100
8,94
9,100
8,93
10,100
10,100
6,91
9,82
5,75
12,100
9,82
11,95
2,38
6,100
2,72
11,99
12,83
9,72
4,65
4,55
5,44
6,38
8,38
7,59
11,100
12,100
8,34
12,81
4,84
5,59
12,100
12,85
2,60
7,100
6,89
1,8
8,76
13,100
7,87
3,52
9,67
12,80
4,58
8,81
4,78
3,52
4,88
7,78
8,63
11,76
10,75
9,85
9,88
7,59
9,74
9,96
