autogrades,score
3,72
4,90
13,94
9,89
13,100
10,79
12,100
6,60
7,100
6,57
6,54
2,43
5,100
3,61
7,95
2,27
8,48
6,67
8,82
8,73
10,69
5,72
7,100
9,56
12,95
9,76
11,100
9,80
11,62
9,100
4,69
4,74
9,100
6,51
10,68
10,83
2,67
13,97
5,56
10,94
6,93
9,61
12,81
7,62
9,100
9,94
4,78
10,66
9,76
11,100
6,74
11,74
7,54
11,100
6,100
3,64
12,100
4,49
6,100
3,64
11,61
9,85
6,87
6,78
8,63
7,100
9,64
8,99
5,90
11,100
7,99
5,100
7,70
7,59
1,51
8,75
10,67
13,100
8,33
10,92
12,96
9,77
7,80
8,85
2,66
10,96
6,68
4,71
11,86
9,98
10,67
4,61
9,45
10,98
10,97
2,73
10,100
11,73
12,92
11,100
10,72
6,67
7,81
4,79
11,66
9,47
6,79
9,100
1,54
8,97
10,100
12,89
7,86
7,59
7,23
9,70
9,89
9,52
9,53
9,27
10,63
6,83
8,77
6,81
10,87
5,100
7,84
1,46
6,100
5,82
11,61
2,37
2,49
9,93
8,46
5,61
7,48
8,100
10,96
9,47
2,55
6,100
6,44
9,89
5,75
6,100
11,99
12,83
9,72
4,55
5,44
6,38
8,38
7,59
11,100
4,84
6,89
12,80
4,58
4,78
8,63
11,76
13,100
2,53
5,58
8,54
9,57
10,77
13,91
6,95
13,97
11,69
6,99
9,100
8,76
9,60
6,100
5,80
6,99
5,80
5,94
13,100
11,70
10,63
3,47
7,57
9,61
9,97
1,47
12,84
10,67
10,83
6,100
9,72
5,57
7,96
11,98
8,89
4,90
8,51
13,100
1,48
5,53
8,100
8,51
10,100
10,100
11,93
5,100
5,100
7,71
8,100
11,80
2,48
11,100
3,59
9,62
7,100
8,72
12,100
9,91
5,65
5,96
12,76
10,73
8,93
2,65
4,72
9,70
7,56
1,42
6,79
4,59
11,89
12,80
9,63
4,57
3,45
11,93
5,100
13,94
8,85
6,100
9,83
4,49
7,76
6,95
10,77
7,100
4,73
10,94
6,82
10,91
8,87
10,100
3,57
6,89
8,55
10,85
8,100
13,91
11,72
10,100
10,77
8,47
9,50
10,100
8,98
11,100
10,74
11,63
5,100
12,100
12,80
10,76
5,97
11,92
7,94
11,100
7,68
9,41
11,100
8,100
5,98
9,100
11,88
13,95
7,67
6,100
9,88
5,63
4,42
8,90
13,100
8,86
4,48
4,85
7,84
11,64
1,57
9,34
9,98
11,83
7,89
9,94
6,96
13,100
9,70
5,89
1,29
11,84
4,82
6,55
10,100
7,75
10,89
6,100
9,52
4,86
10,70
8,99
9,46
9,87
5,100
8,32
11,92
1,33
12,91
5,69
5,88
3,52
8,97
10,100
10,100
6,87
3,29
9,63
12,96
10,100
7,91
11,64
5,100
7,79
8,81
5,73
7,100
5,85
5,78
9,69
7,33
5,100
5,70
12,78
2,55
5,100
10,91
11,67
3,66
6,90
11,81
12,100
7,100
9,56
5,78
11,95
8,85
8,69
6,60
12,98
7,76
9,74
6,67
4,82
12,89
5,79
7,94
12,93
5,100
5,67
3,64
3,55
8,78
7,74
9,85
6,80
11,90
3,63
7,69
12,100
5,54
6,55
2,63
8,45
8,59
3,63
8,54
12,99
7,69
7,87
8,100
6,58
5,41
8,93
12,86
2,33
8,74
13,100
9,74
7,68
9,89
8,81
12,99
7,54
8,98
10,98
10,74
11,83
9,86
6,95
11,77
8,84
12,94
3,70
8,100
3,68
6,100
8,76
11,100
11,85
3,53
9,100
4,61
7,95
13,100
9,85
10,100
7,100
4,76
1,57
10,100
4,83
11,99
5,98
10,78
9,89
6,49
8,92
10,79
5,93
9,87
10,100
6,100
3,59
6,100
9,86
9,78
12,80
6,100
1,55
5,83
8,83
13,97
8,76
10,86
2,70
13,95
9,93
8,39
8,80
11,99
11,93
9,56
6,100
11,83
4,69
5,62
11,100
11,85
12,100
10,82
10,64
5,100
12,83
10,88
8,100
4,59
6,100
9,96
6,77
10,90
12,100
2,72
4,76
6,99
11,66
5,100
9,63
4,79
13,97
12,76
9,79
5,75
9,83
5,62
8,90
12,100
9,100
3,67
8,57
7,35
11,87
2,44
4,81
3,62
9,44
7,59
7,93
5,100
5,98
10,85
8,74
9,43
10,79
6,96
5,87
8,94
8,92
3,69
10,83
6,94
12,81
7,84
6,100
11,61
2,74
11,82
9,79
4,72
7,100
12,79
11,68
6,80
12,84
9,97
10,100
8,87
6,52
9,74
5,55
10,100
2,24
4,77
6,38
9,85
12,100
7,61
4,55
6,79
8,97
8,100
1,31
