potds,score
100,99
84,91
73,78
63,80
93,91
43,100
73,78
103,80
58,48
77,65
99,100
20,72
83,73
85,100
84,80
34,91
77,57
124,100
60,83
43,80
53,54
34,87
67,66
98,81
82,67
48,95
80,79
74,96
48,100
16,76
61,84
47,100
49,100
39,54
112,86
79,86
103,70
103,77
103,65
91,71
88,60
86,67
69,70
65,69
104,100
70,100
61,49
65,82
53,100
88,68
100,49
71,81
45,94
103,100
30,91
49,100
39,57
69,79
77,60
80,78
24,100
104,52
120,100
77,100
93,42
87,76
85,43
60,54
69,83
112,34
39,92
66,27
91,56
81,85
84,96
90,100
97,75
60,100
112,98
36,87
61,63
88,50
86,91
80,71
78,60
54,94
112,62
41,85
88,100
43,92
48,87
90,23
59,93
82,41
66,37
127,75
90,77
108,100
74,100
78,93
71,85
63,85
92,79
128,72
81,100
70,91
84,88
40,81
37,87
117,40
57,100
102,50
53,98
90,69
40,88
105,82
53,100
117,90
63,65
122,81
26,69
73,85
111,74
58,57
116,99
126,41
74,88
74,98
102,96
83,93
54,77
104,73
92,97
63,59
101,94
82,78
104,100
115,72
52,39
69,66
62,74
79,66
122,44
113,60
56,80
86,100
73,86
66,69
62,100
48,100
32,93
113,100
36,100
49,82
57,38
60,72
51,65
97,81
99,100
114,76
38,67
73,81
62,52
127,78
69,75
116,85
45,59
56,74
103,96
111,100
78,86
50,100
66,58
67,74
86,100
48,82
108,82
87,90
71,78
77,94
82,75
51,70
41,92
89,42
120,99
89,88
19,91
59,65
102,64
77,81
85,75
103,50
59,94
72,70
94,71
89,95
38,88
48,100
123,80
87,72
97,80
67,40
125,93
83,100
87,78
104,100
67,69
52,100
63,92
67,99
89,96
130,73
45,86
106,74
53,84
54,75
49,81
80,74
61,72
42,77
104,79
64,100
106,59
27,84
72,76
70,78
94,90
80,67
68,77
95,85
100,67
59,54
27,78
63,66
40,87
97,71
39,96
92,73
49,51
54,50
12,62
91,91
104,47
109,93
59,100
96,64
45,100
103,57
74,70
46,84
52,84
85,100
47,62
116,66
59,44
89,89
125,57
99,64
101,86
107,69
102,76
68,51
65,74
31,90
93,78
50,89
79,100
92,65
52,64
72,64
61,100
45,51
87,75
51,94
51,44
84,96
28,89
121,91
126,52
88,41
93,54
94,52
58,81
48,100
71,76
102,55
49,100
66,82
81,100
88,100
66,37
89,77
101,100
114,82
86,70
123,88
69,94
32,85
91,100
49,78
45,86
129,88
56,81
94,78
64,85
79,54
94,95
59,87
78,46
38,78
57,60
98,60
75,60
53,54
107,87
107,85
58,41
114,64
75,100
118,91
86,100
59,88
52,91
91,74
67,100
61,64
68,84
112,77
37,77
124,79
43,100
50,76
92,79
77,62
66,92
85,76
115,80
51,100
89,86
65,78
106,87
64,100
69,95
89,50
88,67
89,34
64,74
87,59
92,97
100,100
59,96
52,50
45,56
68,100
83,75
109,74
103,63
83,67
108,80
100,77
58,100
46,100
106,56
61,80
104,91
76,85
98,100
95,87
120,100
114,54
84,100
66,88
93,60
63,64
47,100
72,47
38,100
114,67
108,81
85,28
37,69
62,100
108,77
94,89
53,94
78,73
35,100
52,83
75,92
65,90
115,100
96,86
78,49
61,88
58,97
94,100
60,95
76,82
62,28
69,62
118,47
84,100
44,91
63,97
105,71
74,78
97,62
86,96
40,69
95,100
16,72
64,100
108,72
96,68
80,62
107,87
93,72
32,100
55,97
65,92
100,50
104,100
115,100
76,86
89,86
86,51
61,70
84,100
45,82
83,99
34,76
54,95
75,78
72,100
100,96
48,87
71,83
64,56
86,54
45,88
63,100
99,70
95,96
49,50
104,66
76,81
68,100
73,77
64,89
89,69
81,86
75,49
112,76
88,84
81,80
87,76
69,100
59,92
86,73
47,71
63,90
57,62
81,100
69,93
90,70
41,89
65,93
120,82
65,37
57,69
70,73
113,100
111,100
106,78
105,74
71,84
71,69
102,74
59,49
58,73
61,80
93,79
73,100
106,95
53,95
87,84
113,96
41,100
80,82
81,56
59,43
92,89
90,45
49,91
60,100
125,86
78,80
40,100
78,40
57,75
55,42
126,62
50,78
66,81
92,71
66,81
66,93
73,80
116,63
27,73
113,71
116,85
100,60
84,83
63,98
108,94
51,98
57,87
78,100
88,63
69,75
110,38
53,76
82,100
79,60
86,39
58,80
131,61
84,65
89,100
105,85
107,95
87,89
88,30
101,71
79,74
76,73
61,100
77,95
61,93
50,89
99,78
29,81
43,100
67,52
107,81
57,100
50,55
101,88
94,84
112,55
76,71
104,93
80,65
74,100
108,85
70,100
128,100
103,38
45,100
87,67
72,97
54,96
38,82
129,90
95,62
92,81
62,100
41,74
121,84
73,86
58,86
87,76
88,100
72,100
66,59
53,100
86,88
58,100
83,100
22,100
117,83
108,93
88,94
114,100
50,91
60,100
100,88
94,48
56,89
100,100
84,93
87,100
73,69
113,94
91,86
43,92
110,100
84,57
70,61
59,70
87,83
78,64
21,76
59,72
50,41
47,74
48,66
46,75
20,59
86,100
88,49
119,100
79,43
87,74
80,89
45,89
104,58
64,80
28,100
103,94
101,88
43,58
87,45
84,77
92,100
80,84
62,43
62,100
46,100
50,91
64,100
82,93
79,78
68,87
33,72
95,100
95,88
79,54
93,68
119,74
102,100
84,82
78,24
79,68
77,100
60,77
74,88
71,78
53,75
71,96
87,98
86,82
52,92
44,87
66,96
82,38
56,83
44,100
108,87
61,29
29,62
69,43
109,49
80,77
32,67
127,77
99,56
70,54
78,99
72,78
106,92
96,100
61,83
101,74
45,61
49,89
104,80
74,90
30,74
51,59
93,81
57,76
91,71
52,100
74,78
124,81
98,57
82,35
82,25
94,100
108,70
100,64
114,79
56,44
65,100
77,100
39,93
45,100
81,71
68,86
95,45
79,100
82,38
95,82
80,46
81,73
51,100
