potds,score
55,57
75,82
112,94
43,100
58,74
64,64
65,64
31,70
99,67
35,73
102,47
56,100
66,52
78,83
112,87
90,84
80,93
67,61
54,83
84,59
109,84
60,78
97,58
97,91
51,95
115,100
49,70
44,100
87,51
117,100
93,100
66,100
63,100
56,65
73,76
59,80
57,57
93,93
119,100
78,91
96,87
38,55
98,85
60,72
106,98
108,100
41,100
70,90
58,48
89,64
78,57
44,96
98,100
75,52
113,86
82,92
114,88
78,52
72,100
73,87
57,63
64,100
56,79
66,100
78,70
117,66
79,81
112,78
22,95
78,100
89,54
75,55
59,59
60,41
119,93
62,54
92,84
39,68
56,100
106,98
108,55
49,97
46,62
54,100
131,85
59,72
54,76
61,67
57,81
80,100
55,84
58,100
47,87
45,55
99,38
60,100
95,56
75,94
73,86
48,90
24,78
53,66
74,45
67,100
87,82
107,100
104,90
84,100
57,78
112,89
18,63
32,79
106,60
72,69
57,93
87,100
63,98
105,95
86,62
125,93
78,95
62,100
50,41
88,56
95,74
64,100
93,93
51,100
49,68
112,60
