autogrades,score
10,72
11,64
8,49
11,76
4,57
2,51
13,100
9,64
6,23
3,46
7,28
7,47
6,80
2,56
9,72
10,80
11,67
3,62
3,73
12,100
11,100
10,100
5,46
4,41
7,86
5,28
5,100
5,47
9,78
9,98
5,46
9,62
7,52
4,77
9,87
5,89
5,96
2,68
8,46
5,91
5,54
7,100
6,50
2,73
11,63
1,41
8,88
6,96
6,81
7,85
10,62
9,89
6,50
4,49
11,89
6,83
5,47
2,42
5,98
10,69
7,74
11,67
6,92
8,93
1,47
6,90
5,27
2,67
4,84
8,45
2,40
8,11
2,53
11,76
12,76
2,62
8,56
10,91
6,66
5,48
11,99
7,78
7,59
9,66
10,100
7,64
5,45
5,73
13,100
9,64
8,54
6,40
9,89
8,67
3,59
12,96
1,33
4,80
4,61
7,100
9,54
7,55
8,81
5,89
7,76
6,68
5,60
8,89
8,100
10,63
