autogrades,score
4,82
2,63
3,59
6,41
13,100
4,69
6,56
7,12
6,19
5,100
8,60
7,31
9,100
9,75
9,96
2,21
3,53
5,46
13,100
3,59
12,88
9,76
2,43
4,83
6,88
5,62
11,84
5,96
6,88
5,69
7,100
3,68
8,83
9,83
10,76
8,65
6,85
7,99
9,23
5,55
6,51
7,69
7,91
10,94
13,100
9,87
9,83
1,34
5,100
8,36
3,39
5,43
8,46
8,59
7,82
9,49
13,100
8,100
10,75
7,90
6,79
1,47
11,64
2,20
10,100
5,100
11,97
2,13
9,46
8,-1
2,52
9,65
13,96
4,24
4,73
2,73
10,100
2,57
9,96
12,80
10,83
4,58
7,32
2,74
6,96
7,89
9,36
1,57
1,47
2,34
6,36
1,15
5,60
11,95
11,84
9,78
10,80
6,56
5,31
9,100
4,55
7,95
6,99
