potds,score
72,56
100,81
74,99
43,29
63,82
101,91
103,99
73,60
77,81
94,52
99,83
83,56
81,58
67,63
84,72
80,98
48,92
103,71
103,51
74,100
99,90
104,100
61,37
100,59
88,49
100,47
62,100
69,86
80,76
61,59
61,41
107,48
71,88
24,100
77,31
77,100
108,90
37,46
66,38
31,69
112,60
97,60
81,47
114,86
82,48
80,82
69,94
54,100
65,71
109,48
112,73
102,51
43,92
49,100
75,100
127,90
90,89
108,100
53,88
67,61
121,80
60,79
92,63
70,77
57,56
34,100
40,100
90,83
74,97
115,100
26,89
79,63
73,85
114,60
43,55
45,100
54,76
91,54
63,100
58,43
104,99
56,100
73,71
48,100
113,100
50,100
82,100
36,83
62,96
99,62
98,46
34,41
89,100
117,81
96,86
73,79
127,79
69,60
66,62
86,96
61,81
46,34
71,87
82,78
65,76
41,100
95,47
103,38
90,50
64,79
120,86
94,74
126,61
38,69
63,66
70,88
79,90
58,48
125,100
83,97
30,80
65,72
62,80
89,91
49,68
80,77
42,82
82,87
44,84
87,99
57,63
100,47
103,100
116,100
48,86
45,45
77,100
75,81
79,69
79,70
76,53
40,80
43,69
107,57
65,61
60,68
93,69
83,61
79,95
79,100
118,50
45,78
75,94
64,41
86,36
108,83
94,70
111,83
19,96
91,30
85,66
114,88
20,81
37,80
53,99
77,71
91,23
71,50
53,99
38,93
73,100
38,91
41,86
58,35
4,98
93,97
60,82
74,40
67,83
37,69
129,18
114,90
78,81
106,74
64,100
43,57
100,100
56,96
47,76
61,87
41,90
64,96
74,84
109,84
72,35
89,82
51,60
54,100
45,92
41,64
107,82
61,74
46,54
85,15
96,27
35,84
75,74
65,88
91,56
96,85
127,70
87,87
45,60
62,45
70,70
65,48
36,45
118,49
86,86
107,71
69,62
108,57
77,81
24,100
103,74
32,98
65,100
83,55
93,89
34,95
73,97
36,79
84,100
57,62
45,76
78,100
73,95
75,81
103,89
90,81
103,93
60,93
63,81
99,56
49,59
41,64
68,85
89,100
68,97
112,73
88,74
87,87
66,100
70,100
70,58
107,61
106,79
111,80
80,100
81,69
56,97
42,58
67,62
125,93
78,92
40,100
36,45
84,82
92,53
66,78
34,41
35,84
51,97
47,65
53,83
82,83
131,69
99,74
89,100
105,92
40,95
88,27
80,100
76,58
61,100
50,88
57,100
63,89
80,79
95,49
134,67
0,38
73,29
110,100
96,65
93,43
119,41
44,98
121,67
96,59
73,74
31,100
59,77
112,60
56,95
100,85
84,98
87,96
100,96
89,53
91,85
76,73
122,74
113,79
21,79
91,81
111,38
94,100
74,79
83,77
74,60
73,32
27,80
86,34
45,72
71,79
93,92
92,92
43,61
62,100
92,23
93,77
102,100
108,67
77,85
99,100
76,91
44,60
56,86
121,100
59,90
108,100
29,59
69,29
17,72
82,76
80,64
69,82
30,92
69,96
65,52
56,60
80,87
81,89
71,88
101,90
45,50
62,75
112,100
103,75
99,90
58,84
101,94
70,81
91,77
107,64
59,76
82,18
71,100
99,88
62,75
56,54
60,75
41,73
110,96
43,63
51,100
