potds,score
77,58
73,60
83,34
88,26
93,43
87,91
74,100
66,99
120,100
77,31
108,90
120,61
98,89
64,86
94,24
56,89
16,68
101,81
54,39
32,71
63,100
67,77
82,100
62,96
62,100
77,84
71,51
67,97
53,71
46,86
61,81
32,82
37,48
89,76
94,21
37,91
28,65
43,75
63,100
79,21
81,100
40,80
82,46
42,13
83,61
82,61
53,100
51,57
78,68
37,80
72,58
89,80
110,45
12,84
119,84
63,54
60,72
129,18
109,37
62,75
54,100
73,67
80,18
64,88
70,100
72,82
91,56
45,60
62,45
72,100
95,88
83,55
53,72
34,95
109,48
82,42
67,74
101,74
50,100
38,98
61,100
100,84
27,100
52,43
67,62
79,77
33,56
36,45
72,53
71,71
71,96
79,5
44,98
80,100
31,100
64,69
71,64
61,68
45,85
118,95
59,7
31,62
27,80
58,100
85,59
60,76
76,7
104,99
34,73
67,93
17,72
6,45
95,82
