potds,score
60,70
43,91
82,52
48,100
39,66
70,100
53,84
103,95
49,81
104,38
120,95
69,68
39,96
91,40
60,92
61,72
41,99
48,71
90,24
82,56
74,100
78,82
117,30
102,56
105,68
111,72
74,90
83,99
63,61
113,62
62,34
116,69
45,46
120,86
85,60
67,100
45,78
54,84
104,71
27,92
72,77
94,100
68,84
59,39
97,84
49,67
104,42
47,66
101,80
52,63
84,100
28,84
71,64
102,58
89,71
123,93
32,69
129,100
79,51
98,59
114,84
118,100
112,68
92,60
77,59
85,80
89,49
64,84
87,42
52,34
83,74
103,65
83,85
108,75
58,100
106,59
76,69
98,98
114,43
114,69
108,79
78,43
58,80
76,88
40,73
64,100
96,71
80,80
107,87
115,81
86,54
71,80
45,87
89,53
75,53
81,93
59,100
57,47
69,100
90,72
113,85
105,72
59,51
73,100
87,100
49,100
78,38
116,82
63,100
108,80
57,100
101,79
79,63
99,75
43,100
107,86
112,56
103,54
129,70
41,57
72,92
66,75
53,82
117,99
94,67
73,58
59,72
47,62
119,100
79,24
80,91
103,100
82,79
79,59
71,94
87,100
52,100
66,100
44,97
70,36
49,86
104,68
51,54
57,96
124,68
98,68
82,18
114,91
65,94
81,66
