autogrades,score
8,82
11,63
7,80
9,96
11,73
5,93
6,85
11,95
6,76
9,76
10,100
8,77
9,100
8,36
10,100
7,83
11,100
7,74
6,62
11,74
5,65
6,47
7,83
9,100
1,37
12,84
5,61
11,63
12,100
10,100
2,68
8,99
9,91
4,89
11,95
10,77
9,78
8,85
12,82
10,100
4,85
9,78
4,89
5,54
7,36
9,65
6,99
7,64
6,97
12,77
1,44
7,36
10,88
12,89
4,54
7,52
5,94
7,96
5,86
5,21
8,51
11,67
7,100
10,86
6,63
12,100
4,26
6,75
7,83
7,57
1,59
11,98
8,73
4,83
5,43
6,100
5,55
10,85
2,73
6,100
9,42
10,100
13,100
5,87
3,65
9,100
12,100
4,90
5,100
13,100
8,30
9,80
4,69
6,91
4,76
7,45
7,82
7,94
8,48
7,94
7,88
6,61
3,44
8,97
7,86
8,85
9,93
7,61
13,100
7,56
5,100
1,57
7,10
6,97
9,52
7,43
6,81
5,84
7,79
3,69
9,71
10,96
6,100
3,43
8,100
6,76
3,58
8,100
10,70
1,58
