autogrades,score
13,97
9,79
5,66
6,83
12,100
5,54
2,75
7,69
12,82
3,56
1,43
10,91
1,53
6,94
6,96
6,91
11,91
6,97
10,100
12,81
10,100
5,94
5,84
11,100
4,34
10,65
5,81
7,84
6,51
6,99
6,8
12,80
3,28
2,32
6,99
9,71
2,65
9,64
8,99
7,47
3,47
5,62
7,100
6,50
7,100
2,66
10,73
7,57
11,63
5,100
4,84
11,94
7,72
3,66
8,90
5,100
9,68
8,100
6,74
7,66
11,79
7,100
6,92
12,100
10,94
9,39
13,100
9,100
8,35
3,28
5,100
11,63
12,84
11,84
10,68
5,73
8,99
6,100
2,70
8,97
6,78
8,84
10,100
7,58
12,87
12,94
9,33
5,93
13,100
7,81
5,48
5,62
7,39
9,100
6,56
6,75
12,88
11,99
7,100
12,100
10,63
9,70
2,33
2,75
3,27
4,90
11,100
5,100
10,100
10,100
6,51
10,71
11,64
7,55
6,26
11,73
9,88
7,59
3,55
10,99
1,58
11,72
10,68
4,83
4,86
7,86
12,98
10,68
8,77
7,43
1,15
6,100
8,100
11,84
8,28
5,98
10,100
6,94
9,55
7,100
10,93
13,100
9,100
10,100
8,67
9,46
13,100
2,51
3,24
6,86
4,63
