potds,score
75,92
34,64
61,70
61,46
85,100
31,74
71,51
121,-4
69,5
34,88
81,74
73,23
85,100
115,73
17,82
67,10
62,46
98,40
89,99
13,63
61,82
55,83
35,47
62,68
70,94
65,53
44,73
59,100
57,100
65,88
42,100
60,49
52,72
108,69
42,61
64,83
37,90
53,90
91,5
52,65
90,50
74,66
38,79
113,100
87,99
61,67
32,91
84,16
77,100
95,50
40,32
44,61
56,56
85,57
101,65
85,47
130,100
33,88
86,89
96,100
36,64
38,45
77,67
89,29
111,100
117,89
68,84
75,20
90,46
96,15
107,61
84,66
60,100
79,11
82,53
88,69
100,96
48,61
60,90
109,99
72,77
41,77
73,38
43,68
73,97
72,90
86,45
113,67
32,55
41,53
102,17
57,23
92,43
20,96
96,74
71,63
88,82
64,45
89,23
62,85
95,67
60,80
97,87
