potds,score
72,63
77,50
36,72
100,89
95,61
84,86
73,66
63,99
74,97
75,88
93,98
43,65
43,67
63,71
70,78
80,89
101,84
45,68
63,80
73,95
116,94
34,74
103,55
73,74
28,45
55,69
55,66
73,65
58,69
77,83
94,80
99,93
89,89
91,99
86,93
20,58
83,71
97,97
83,67
88,84
85,84
84,94
86,80
34,86
81,91
77,59
25,55
74,82
124,95
33,40
110,79
60,61
43,70
53,77
34,82
67,95
75,66
98,89
83,55
82,95
84,94
48,55
86,68
80,74
74,59
48,63
101,89
16,60
61,62
47,86
48,65
49,70
84,66
39,64
112,87
46,74
79,63
53,64
99,98
56,41
106,93
93,74
87,45
103,86
103,83
103,94
91,70
99,71
74,83
99,66
95,90
102,99
88,61
79,63
77,76
86,65
69,98
66,49
120,92
78,89
69,64
94,97
65,55
104,100
54,75
113,83
124,100
70,64
61,80
100,64
50,73
65,56
53,56
94,81
118,88
88,66
100,86
62,74
71,83
45,86
103,88
30,55
49,64
39,57
69,98
92,91
75,77
77,85
76,61
77,79
80,94
112,90
61,79
61,89
61,85
107,90
71,61
43,71
58,61
38,84
87,85
24,61
29,43
101,87
104,99
77,49
69,78
104,75
120,84
64,87
64,89
81,97
113,98
115,100
65,80
77,68
85,81
93,75
87,77
53,44
103,98
77,75
85,70
81,77
35,77
59,73
108,88
60,75
94,100
69,77
120,91
110,100
112,93
64,85
74,65
78,65
49,57
92,76
39,74
65,57
97,93
31,58
37,55
66,91
31,44
112,72
91,72
54,69
78,74
103,98
81,69
84,80
90,85
97,80
81,49
114,81
60,93
34,53
112,88
36,66
99,73
61,62
88,57
58,46
100,93
82,92
60,74
101,90
86,76
80,75
76,82
69,92
72,85
74,82
91,77
97,97
78,93
54,63
65,68
70,65
71,70
109,85
112,67
41,63
102,98
86,99
124,92
88,92
72,71
21,67
43,76
42,62
121,80
125,95
68,96
72,92
48,57
67,56
96,83
74,60
68,80
90,61
59,61
88,84
67,73
98,83
82,68
49,67
35,71
45,66
75,93
66,97
127,96
90,65
108,99
74,62
71,85
86,62
82,57
83,91
53,67
69,71
83,89
78,75
64,66
66,45
71,97
63,97
61,62
67,93
102,94
121,100
122,96
40,60
46,59
60,60
94,90
92,98
128,84
105,70
81,89
70,95
30,63
56,48
84,71
57,56
34,57
16,58
40,69
37,61
117,85
56,79
48,81
57,80
68,69
60,46
102,81
81,94
53,83
90,96
40,72
74,61
115,97
101,78
11,52
72,78
54,88
105,70
78,72
53,60
73,67
66,61
117,78
41,46
52,95
85,57
129,90
63,71
122,99
26,55
79,68
73,59
56,67
66,87
57,82
3,41
70,59
91,99
114,95
111,93
115,97
78,93
95,91
58,60
52,79
112,91
71,98
116,80
90,96
126,82
43,58
45,55
17,58
74,76
74,91
102,89
31,66
64,89
83,58
85,57
32,44
54,85
86,78
115,73
104,86
86,87
92,85
67,72
91,54
80,77
63,89
63,61
54,81
101,92
95,68
74,76
67,82
67,58
58,61
82,80
104,90
115,76
52,91
60,60
69,66
63,93
62,99
65,41
79,89
87,87
122,84
113,85
88,90
56,63
112,100
55,43
73,73
86,66
73,67
66,94
62,62
43,58
109,100
60,73
14,60
62,86
101,94
48,64
80,54
34,70
32,72
90,78
113,95
50,82
82,99
70,56
36,66
49,69
62,73
57,62
68,58
60,67
69,87
54,68
94,95
51,85
109,90
99,89
39,70
60,61
84,73
44,56
62,68
89,83
97,84
109,84
98,77
99,100
77,58
34,51
89,77
112,68
102,59
114,96
117,73
96,93
71,48
38,82
65,58
25,73
73,69
60,75
62,63
67,77
127,86
98,98
59,79
69,97
116,91
65,100
45,71
56,77
103,100
53,68
111,74
84,54
78,71
106,62
50,61
54,87
66,81
97,88
67,78
46,74
86,65
48,92
108,78
87,69
61,74
46,56
32,59
37,56
71,88
77,62
82,59
124,76
65,60
97,65
13,47
51,60
41,77
51,88
89,75
80,62
120,95
89,100
78,83
116,100
76,86
19,56
59,69
95,91
102,75
87,100
61,87
77,92
31,66
85,81
115,83
55,92
103,86
98,85
90,57
112,95
35,58
62,71
79,51
64,61
61,41
120,88
49,92
84,65
103,95
94,96
59,82
126,100
60,100
96,92
61,70
49,60
60,73
89,61
72,99
94,96
86,98
89,87
71,63
81,63
38,75
58,64
94,65
79,61
46,49
113,87
99,60
48,57
123,91
87,94
63,68
70,61
97,78
79,69
58,87
67,94
51,85
74,84
57,83
48,75
50,61
125,100
83,91
44,91
87,75
104,95
67,94
30,68
52,78
78,64
65,64
113,80
62,84
46,57
63,96
86,70
67,100
89,96
77,88
130,100
65,90
107,95
45,76
106,96
100,89
125,88
53,89
119,97
37,70
48,77
122,88
83,88
54,60
28,59
87,91
49,86
80,94
117,94
61,90
42,92
104,84
64,76
90,99
82,89
106,98
27,56
72,71
70,74
44,71
94,86
99,74
80,73
68,58
93,91
87,61
95,80
88,91
66,94
59,77
57,78
83,69
63,81
70,90
100,66
35,58
103,88
74,76
66,75
60,83
59,80
116,97
27,60
48,61
63,72
40,80
43,53
97,67
39,59
56,59
80,77
92,63
63,84
49,56
73,91
76,66
54,64
12,55
91,88
104,84
45,63
79,47
70,84
109,88
77,64
49,40
57,86
75,64
59,56
96,74
45,55
12,58
79,87
57,74
103,91
74,92
100,81
46,55
78,55
61,88
79,91
76,82
52,72
67,75
85,61
81,58
59,91
108,79
58,97
57,86
47,60
77,86
116,78
55,62
62,62
59,60
89,76
93,84
109,92
65,89
40,50
119,92
95,71
125,91
96,64
43,63
99,70
101,83
47,43
117,96
57,74
107,91
82,49
58,45
42,53
102,83
70,82
94,59
54,62
68,56
60,67
65,78
60,75
42,86
31,55
93,65
89,82
52,57
100,87
111,84
73,75
110,99
80,99
101,74
32,70
50,70
107,82
71,59
64,98
78,67
96,67
51,72
60,90
134,98
94,89
38,67
98,88
78,71
83,90
58,85
79,76
92,86
79,99
52,92
44,70
72,81
118,83
61,68
60,65
45,83
49,48
75,60
87,73
64,90
45,62
87,56
86,90
51,87
108,72
33,73
90,94
51,60
106,100
70,88
84,72
28,71
52,78
91,96
121,75
57,53
108,80
126,84
62,61
76,91
105,78
127,89
75,57
88,56
71,98
41,57
7,48
53,79
80,84
93,84
58,67
111,96
94,83
82,71
58,67
68,56
111,73
53,72
48,88
53,73
42,44
71,95
39,49
91,68
64,92
102,93
71,64
81,69
19,45
49,67
37,67
66,99
91,63
85,82
81,73
88,57
66,61
89,79
47,62
51,78
36,43
92,81
90,84
78,76
85,99
101,83
114,85
86,70
75,79
20,45
123,83
69,92
32,57
91,97
37,56
72,40
49,89
53,65
45,68
77,61
129,100
89,70
89,98
48,52
80,68
91,87
69,96
103,75
115,77
56,57
94,83
70,78
41,71
98,79
110,78
64,65
58,96
110,93
52,45
85,57
12,61
77,59
79,79
94,85
81,95
89,64
78,83
41,85
71,54
59,66
119,79
90,81
53,63
71,73
67,74
59,70
78,94
38,58
71,67
44,87
54,40
73,85
113,77
57,77
63,71
85,61
74,98
98,98
43,40
62,71
69,62
118,96
38,69
41,69
66,95
75,93
123,87
53,61
107,90
98,87
107,91
58,55
130,89
4,45
93,90
60,79
114,83
74,60
27,60
75,83
118,82
86,73
59,57
52,67
113,92
91,75
105,85
75,89
67,60
61,77
29,50
113,98
58,99
103,88
57,62
114,81
83,62
68,95
60,62
63,64
112,86
37,76
107,82
129,95
82,88
77,98
124,86
109,84
116,89
86,76
43,85
50,58
61,42
92,78
69,70
77,57
114,97
78,91
114,94
66,62
78,90
72,96
73,55
88,90
89,96
57,67
95,76
85,89
115,93
51,59
89,78
56,75
65,73
106,100
64,83
88,69
69,72
89,82
32,55
43,60
88,76
64,78
89,89
64,78
56,100
92,85
71,55
87,73
117,86
92,68
100,93
56,61
60,99
63,85
59,70
81,58
51,59
66,72
45,57
113,64
87,56
78,65
106,95
52,63
47,86
84,83
61,74
45,55
68,59
41,77
83,81
83,59
68,69
64,73
74,70
109,100
18,57
103,74
46,65
32,41
83,77
113,82
74,68
117,85
113,90
62,64
79,69
89,79
57,85
108,87
82,58
100,96
71,93
112,91
35,64
84,96
62,65
58,78
46,59
22,60
72,73
106,96
61,75
130,93
65,63
131,94
104,70
72,85
53,47
87,75
77,61
76,80
112,64
35,70
98,71
67,89
89,73
67,74
51,55
95,48
54,90
82,88
74,94
42,92
45,57
69,68
83,70
36,72
95,86
120,93
114,75
78,79
84,89
66,61
73,60
93,62
63,95
65,46
47,85
64,64
41,58
67,77
107,99
63,97
72,68
38,66
40,52
49,76
80,83
114,100
64,91
61,78
83,77
110,90
68,78
41,46
46,63
44,75
108,100
85,76
37,58
62,85
47,63
89,83
108,90
94,99
100,99
96,82
53,75
95,77
75,94
56,43
70,54
78,74
103,98
105,93
51,80
95,67
64,72
85,65
35,71
59,67
52,62
112,73
72,74
75,69
65,74
115,77
91,97
96,70
105,77
74,85
127,86
78,70
87,75
72,57
71,68
45,46
113,99
95,80
62,73
60,88
119,93
61,88
58,64
49,90
120,100
37,54
70,65
11,41
56,53
94,70
79,61
30,55
101,74
28,48
60,73
65,82
120,82
76,100
72,64
62,73
77,46
36,68
69,62
87,76
118,75
84,65
44,56
50,76
63,92
83,100
105,83
85,78
62,55
74,76
90,97
97,77
41,69
105,87
86,77
68,83
40,66
96,100
112,75
98,69
95,64
105,77
41,55
107,93
88,61
92,84
90,62
50,81
67,75
95,82
56,77
16,57
97,87
69,75
130,98
64,65
108,95
96,91
80,85
33,61
61,86
39,58
107,76
77,56
24,59
116,97
118,77
103,89
93,59
38,68
116,77
34,67
86,57
32,80
96,89
55,69
65,85
83,51
48,67
74,66
62,87
53,65
83,70
100,73
93,78
104,97
115,76
66,89
72,47
97,55
104,71
76,88
34,51
69,81
73,97
36,57
56,91
25,52
84,61
89,88
94,78
117,70
94,75
72,94
109,68
86,83
57,65
44,48
82,91
61,94
38,44
77,100
88,82
101,60
84,62
45,77
71,75
83,90
106,91
56,68
102,86
78,79
81,59
72,63
87,78
49,68
73,88
34,62
103,79
106,81
32,57
98,100
96,95
95,83
54,66
67,90
75,79
98,75
110,95
8,48
33,68
51,69
72,67
100,89
48,58
103,79
122,95
101,57
113,90
72,54
71,96
50,60
64,95
86,85
100,80
90,99
56,87
57,92
103,74
99,73
89,92
108,95
60,92
72,64
45,66
112,87
58,54
49,73
106,100
63,88
50,70
53,91
99,59
111,87
95,69
73,57
117,96
108,86
62,88
49,61
115,96
104,82
41,65
76,88
47,47
68,69
55,88
73,79
89,61
64,82
89,90
93,100
49,81
81,93
31,69
38,58
49,61
61,49
75,65
70,63
101,51
123,88
68,94
112,89
46,75
54,79
87,74
88,95
75,66
131,89
81,68
26,65
63,76
70,55
87,67
69,72
66,77
59,75
86,59
47,76
63,85
52,61
57,88
81,86
69,82
90,78
70,76
41,67
65,92
106,78
70,77
120,92
49,52
65,83
57,88
70,67
27,63
108,87
113,92
52,60
111,89
107,92
100,91
91,63
106,90
27,48
45,57
115,91
105,99
103,69
126,80
71,68
71,69
102,80
20,62
59,98
54,59
59,69
58,58
54,86
61,91
93,63
52,66
73,67
40,79
106,99
53,69
87,83
112,77
113,97
111,91
41,71
80,95
81,80
59,91
92,99
57,50
79,68
90,67
56,58
42,75
49,85
60,77
67,73
125,100
32,56
67,51
106,68
78,68
40,66
105,100
78,80
53,84
127,89
57,84
55,64
79,43
33,51
69,54
126,96
91,86
50,99
36,43
118,92
66,67
84,89
133,96
92,89
108,100
66,72
72,92
42,65
64,72
75,49
66,77
85,83
64,95
94,62
61,58
75,72
66,68
90,66
73,66
96,77
116,79
27,59
82,91
113,91
116,88
85,97
107,83
127,91
100,99
34,60
35,69
90,90
84,75
63,90
62,83
108,94
64,76
51,56
67,54
67,97
57,80
57,86
78,82
71,99
47,70
49,72
88,69
69,72
72,85
52,92
31,73
80,73
110,96
100,98
57,84
57,69
110,99
53,60
82,96
79,95
86,62
58,55
46,61
51,52
131,99
84,69
117,98
48,85
89,87
99,90
62,74
89,71
105,86
40,59
37,53
107,90
71,89
89,67
42,55
87,97
88,89
72,61
101,59
104,93
121,93
79,98
106,86
80,71
28,56
16,51
76,58
116,94
68,69
54,59
86,100
84,99
80,52
61,72
77,100
61,79
50,60
83,93
99,100
53,92
24,56
29,59
77,95
55,80
59,88
43,61
67,74
107,70
57,84
50,89
63,65
58,88
101,67
94,67
112,95
76,93
104,98
80,80
74,77
47,79
95,82
108,77
67,68
70,69
68,67
109,70
134,98
45,56
128,83
72,82
0,48
73,56
85,92
103,93
60,60
99,81
45,60
65,67
79,50
87,79
110,90
72,100
96,98
79,57
54,90
38,81
129,96
95,74
93,93
92,87
62,97
41,59
70,62
66,83
60,64
104,89
119,76
44,51
121,93
95,69
98,85
80,57
96,85
73,81
58,88
76,57
87,81
75,56
88,70
38,76
106,75
105,87
81,72
72,97
31,53
66,81
68,85
53,100
40,67
88,87
86,80
109,73
40,65
73,71
86,85
52,55
58,61
83,70
22,56
117,76
64,59
59,83
111,87
108,99
88,73
114,74
112,67
50,74
60,81
100,87
94,63
56,100
93,81
60,65
100,66
84,92
56,59
69,61
63,93
87,82
100,99
89,84
82,53
69,93
103,77
93,70
48,86
