potds,score
72,63
100,89
74,97
43,67
63,71
101,84
103,55
73,65
77,83
94,80
99,93
83,71
81,91
67,95
84,94
80,74
48,63
103,83
103,94
74,83
99,66
104,100
61,80
100,64
88,66
100,86
62,74
69,98
80,94
61,79
61,89
107,90
71,61
24,61
77,49
77,68
108,88
37,55
66,91
31,44
112,72
97,80
81,49
114,81
82,92
80,75
69,92
54,63
65,68
109,85
112,67
102,98
43,76
49,67
75,93
127,96
90,65
108,99
53,67
67,93
121,100
60,60
92,98
70,95
57,56
34,57
40,69
90,96
74,61
115,97
26,55
79,68
73,59
114,95
43,58
45,55
54,85
91,54
63,89
58,61
104,90
56,63
73,67
48,64
113,95
50,82
82,99
36,66
62,73
99,89
98,77
34,51
89,77
117,73
96,93
73,69
127,86
69,97
66,81
86,65
61,74
46,56
71,88
82,59
65,60
41,77
95,91
103,86
90,57
64,61
120,88
94,96
126,100
38,75
63,68
70,61
79,69
58,87
125,100
83,91
30,68
65,64
62,84
89,96
49,86
80,94
42,92
82,89
44,71
87,61
57,78
100,66
103,88
116,97
48,61
45,63
77,64
75,64
79,87
79,91
76,82
40,50
43,63
107,91
65,78
60,75
93,65
83,90
79,76
79,99
118,83
45,83
75,60
64,90
86,90
108,72
94,83
111,73
19,45
91,63
85,99
114,85
20,45
37,56
53,65
77,61
91,87
71,54
53,63
38,58
73,85
38,69
41,69
58,55
4,45
93,90
60,79
74,60
67,60
37,76
129,95
114,94
78,90
106,100
64,83
43,60
100,93
56,61
47,86
61,74
41,77
64,73
74,70
109,100
72,85
89,73
51,55
54,90
45,57
41,58
107,99
61,78
46,63
85,76
96,82
35,71
75,69
65,74
91,97
96,70
127,86
87,75
45,46
62,73
70,65
65,82
36,68
118,75
86,77
107,93
69,75
108,95
77,56
24,59
103,89
32,80
65,85
83,51
93,78
34,51
73,97
36,57
84,61
57,65
45,77
78,79
73,88
75,79
103,79
90,99
103,74
60,92
63,88
99,59
49,61
41,65
68,69
89,61
68,94
112,89
88,95
87,67
66,77
70,76
70,67
107,92
106,90
111,91
80,95
81,80
56,58
42,75
67,73
125,100
78,68
40,66
36,43
84,89
92,89
66,77
34,60
35,69
51,56
47,70
53,60
82,96
131,99
99,90
89,71
105,86
40,59
88,89
80,71
76,58
61,72
50,60
57,84
63,65
80,80
95,82
134,98
0,48
73,56
110,90
96,98
93,93
119,76
44,51
121,93
96,85
73,81
31,53
59,83
112,67
56,100
100,66
84,92
87,82
100,99
89,84
91,100
76,62
122,87
113,86
21,58
91,99
111,87
94,98
74,95
83,86
74,55
73,78
27,47
86,68
45,98
71,92
93,95
92,99
43,66
62,79
92,48
93,81
102,91
108,72
77,85
99,70
76,77
44,69
56,99
121,93
59,94
108,84
29,63
69,76
17,41
82,99
80,65
69,67
30,62
69,67
65,61
56,82
80,76
81,100
71,94
101,74
45,59
62,59
112,82
103,71
99,99
58,92
101,80
70,62
91,100
107,70
59,42
82,66
71,87
99,88
62,80
56,89
60,63
41,59
110,87
43,75
51,75
