potds,score
55,69
75,66
112,90
43,71
58,61
64,87
65,80
31,58
99,73
35,71
102,94
56,79
66,87
78,93
112,91
90,96
80,77
67,58
54,68
84,73
109,84
60,75
97,88
97,65
51,88
115,83
49,60
44,91
87,91
117,94
93,91
66,94
63,81
56,59
73,91
59,91
57,86
93,84
119,92
78,67
96,67
38,67
98,88
60,65
106,100
108,80
41,57
70,78
58,96
89,64
78,83
44,87
98,87
75,89
113,98
82,88
114,97
78,91
72,96
73,55
57,67
64,78
56,100
66,72
78,65
117,85
79,69
112,91
22,60
78,79
89,83
75,94
59,67
60,88
119,93
62,55
92,84
39,58
56,91
106,91
108,95
49,73
46,75
54,79
131,89
59,98
54,59
61,58
57,86
80,73
55,80
58,88
47,79
45,56
99,81
60,64
95,69
75,56
73,71
48,86
24,56
53,86
74,64
67,68
87,81
107,98
104,94
84,55
57,64
112,98
18,57
32,70
106,65
72,90
57,78
87,73
63,100
105,63
86,93
125,99
78,100
62,89
50,62
88,73
95,88
64,96
93,96
51,63
49,62
112,71
