potds,score
84,75
73,66
63,100
93,88
20,45
34,70
47,72
49,87
79,80
103,82
65,48
39,59
87,86
60,72
90,100
36,61
63,88
128,100
84,51
37,42
117,90
126,100
74,100
102,90
52,71
69,67
79,86
122,85
86,73
62,82
32,58
99,100
114,97
111,92
50,47
51,49
77,100
59,97
72,89
123,100
87,74
87,95
67,99
61,79
106,88
80,59
40,77
92,65
91,100
46,62
116,79
125,82
61,82
51,80
126,92
88,66
91,90
45,85
94,90
78,84
57,74
53,69
86,90
52,53
91,57
43,70
89,88
88,88
92,71
100,78
61,71
95,75
108,100
37,62
69,79
84,57
44,61
63,88
93,68
55,59
100,55
89,85
83,84
34,66
100,100
48,73
69,72
63,68
81,98
41,63
65,80
57,96
102,73
57,76
126,100
100,100
78,82
88,71
79,100
58,58
107,100
67,93
76,100
74,71
87,90
58,79
83,70
50,57
60,82
113,94
110,100
59,63
50,82
20,49
104,88
43,72
87,80
84,77
46,43
79,74
33,61
95,98
84,80
60,66
74,87
53,68
86,87
44,81
30,65
95,83
