potds,score
75,91
34,56
61,65
61,79
85,64
31,37
71,56
121,93
69,54
34,61
81,81
73,65
85,65
115,100
17,50
67,85
62,65
98,75
89,82
13,30
61,94
55,90
35,49
62,80
70,62
65,100
44,81
59,75
57,80
65,82
42,72
60,74
52,42
108,91
42,37
64,80
37,69
53,46
91,85
52,43
90,78
74,91
38,77
113,79
87,75
61,65
32,27
84,100
77,45
95,65
40,35
44,74
56,33
85,57
101,74
85,76
130,98
33,53
86,72
96,78
36,48
38,43
77,92
89,100
111,78
117,89
68,79
75,90
90,74
96,75
107,87
84,100
60,67
79,49
82,72
88,62
100,88
48,51
60,57
109,83
72,50
41,72
73,80
43,68
73,62
72,77
86,67
113,99
32,43
41,43
102,69
57,70
92,66
20,44
96,99
71,73
88,57
64,98
89,94
62,35
95,80
60,88
97,81
