potds,score
43,70
45,57
97,93
77,95
100,80
81,43
114,87
58,28
86,90
124,100
88,66
71,96
122,88
74,77
66,53
41,31
57,89
45,66
86,97
65,31
55,45
102,77
65,96
79,65
126,100
60,85
46,32
74,100
66,83
45,68
58,80
77,87
47,39
89,96
51,80
57,56
91,53
36,26
92,66
85,100
80,55
115,92
81,98
59,81
43,55
66,99
93,73
74,42
69,74
88,78
74,61
113,91
74,60
71,75
72,85
65,68
72,77
110,76
105,76
127,98
95,100
11,39
41,44
107,80
90,64
56,91
69,60
116,87
93,89
25,37
102,69
110,100
33,59
58,43
73,53
47,27
55,82
89,59
87,72
63,67
40,69
111,97
57,40
79,79
69,49
133,100
66,67
64,64
127,96
67,92
95,75
0,36
68,83
111,98
92,61
113,100
74,45
93,83
33,50
43,55
83,91
70,90
34,57
31,56
79,84
79,97
80,100
72,67
100,91
23,66
