potds,score
77,76
73,64
83,70
88,57
93,87
87,71
74,85
66,54
120,100
77,43
108,79
120,87
98,87
64,83
94,84
56,63
16,34
101,56
54,77
32,32
63,67
67,100
82,71
62,80
62,47
77,47
71,52
67,99
53,89
46,65
61,74
32,60
37,50
89,50
94,70
37,69
28,58
43,33
63,60
79,54
81,96
40,62
82,51
42,64
83,90
82,57
53,74
51,80
78,69
37,48
72,47
89,83
110,88
12,26
119,100
63,92
60,85
129,100
109,85
62,57
54,56
73,51
80,79
64,78
70,64
72,69
91,100
45,11
62,64
72,83
95,80
83,66
53,37
34,45
109,78
82,87
67,100
101,79
50,75
38,62
61,72
100,89
27,52
52,65
67,41
79,60
33,33
36,49
72,86
71,95
71,100
79,53
44,62
80,36
31,68
64,39
71,93
61,58
45,23
118,95
59,53
31,64
27,39
58,61
85,70
60,100
76,53
104,76
34,51
67,38
17,42
6,31
95,49
