potds,score
72,69
36,55
95,79
74,77
63,52
70,79
101,85
63,84
116,67
55,100
55,76
94,100
89,94
91,80
86,88
86,68
25,55
74,97
75,56
83,41
84,81
86,81
101,85
48,57
84,48
53,25
99,73
106,100
99,68
99,65
95,91
79,34
69,100
78,81
94,89
54,95
113,85
124,98
50,98
94,78
62,56
92,100
75,84
77,94
76,95
112,100
61,75
107,87
71,69
43,79
58,35
38,62
101,100
104,100
69,86
64,82
81,88
113,95
115,100
65,88
103,100
77,76
81,71
35,70
59,89
94,100
64,100
74,49
78,73
49,25
92,100
65,29
31,33
54,78
78,44
103,74
99,99
100,76
82,94
60,96
76,89
69,74
72,88
74,91
91,75
97,100
109,100
102,100
72,41
68,84
72,89
67,65
96,80
74,49
68,67
67,100
49,64
35,56
45,52
75,79
86,44
82,68
53,88
61,56
67,71
102,100
121,90
40,63
46,72
60,52
56,81
48,54
115,100
72,77
52,72
129,100
56,72
66,76
70,53
91,100
114,84
78,100
95,92
52,83
112,98
71,100
90,92
43,38
31,38
64,61
85,92
115,86
86,91
80,70
54,53
67,74
58,62
63,85
88,90
112,84
73,91
60,83
14,26
101,100
70,72
68,53
69,100
54,60
94,63
109,70
99,100
39,74
60,25
84,90
44,85
109,96
112,88
65,61
25,41
60,51
98,93
59,67
106,85
54,64
97,79
46,45
124,100
65,45
97,71
51,56
116,91
87,99
31,63
115,98
98,82
90,76
112,91
64,51
120,100
49,69
94,98
61,92
49,81
60,78
81,57
113,86
63,69
79,72
58,58
51,73
57,100
48,74
44,68
30,41
65,80
113,100
62,89
46,76
86,82
107,89
100,100
119,100
48,76
122,100
87,86
117,87
90,94
82,59
93,83
87,68
88,82
66,87
57,83
83,100
63,100
70,75
35,30
103,85
60,76
116,100
48,64
56,59
80,75
73,81
76,38
77,66
75,38
79,65
57,90
100,100
78,75
61,58
76,100
67,62
59,87
108,79
57,88
62,52
93,86
119,100
117,100
57,62
54,41
60,73
100,75
73,85
110,100
101,89
32,68
107,87
71,35
64,100
78,58
96,52
60,77
134,100
94,100
38,64
98,100
58,89
44,40
60,72
75,53
87,69
64,91
86,84
33,54
106,89
70,100
52,51
91,90
108,100
62,59
76,89
105,76
127,100
75,52
71,85
41,59
53,85
111,80
68,34
111,87
91,82
71,71
81,69
85,97
47,31
90,100
77,60
89,72
69,82
70,86
41,72
98,90
58,85
85,60
77,68
89,52
78,96
41,67
53,49
71,72
67,95
71,94
44,72
73,86
113,74
85,63
62,56
118,78
41,51
123,82
98,88
60,83
113,77
105,84
75,95
113,59
58,76
103,99
57,42
83,82
63,62
107,87
82,100
77,65
116,80
86,76
114,100
78,100
114,66
78,96
72,100
73,41
89,75
57,58
95,56
56,100
32,44
43,57
64,48
56,71
92,81
71,56
56,39
60,87
63,80
81,92
51,59
66,70
78,70
41,72
83,73
68,72
64,82
18,21
117,96
62,45
79,88
89,100
57,85
82,44
112,92
22,57
87,95
35,44
67,75
89,78
67,81
51,35
82,79
74,91
42,63
69,45
83,75
36,65
78,64
64,55
41,56
67,72
107,70
63,100
49,85
61,49
83,95
68,63
46,60
47,46
89,74
75,100
103,94
51,53
59,88
112,86
105,100
74,76
87,55
72,32
71,69
113,100
60,93
119,97
49,69
120,100
70,56
79,86
30,65
65,99
120,87
87,76
83,100
62,58
41,66
105,95
96,100
112,77
98,81
105,76
88,68
92,63
67,75
97,90
61,100
39,78
24,36
103,100
38,79
34,55
48,91
74,73
66,75
73,96
56,97
84,66
94,96
117,95
94,64
72,82
88,91
101,80
71,77
106,100
56,74
78,100
81,41
72,95
87,100
73,75
106,100
98,85
96,76
95,89
51,81
103,62
90,85
57,84
103,73
108,71
60,86
72,99
49,63
106,86
50,57
53,83
108,81
62,100
115,80
41,64
93,71
49,76
31,51
49,79
70,39
123,95
46,68
54,82
131,100
70,89
66,71
52,39
70,44
27,58
108,91
52,60
107,78
45,36
115,77
103,89
126,100
20,53
59,81
54,63
54,81
112,95
56,66
42,71
67,89
32,54
105,71
53,79
127,100
91,91
118,94
84,94
108,89
85,100
61,70
82,66
34,73
35,68
62,100
57,70
47,76
49,75
52,75
31,40
80,62
100,100
57,92
57,70
46,63
117,92
48,76
89,91
99,100
40,65
89,96
42,79
72,54
104,99
121,96
80,73
28,51
116,84
68,65
54,60
86,97
83,100
53,87
24,58
77,100
55,81
59,63
58,92
47,67
68,93
109,90
45,38
72,94
73,52
85,100
99,46
65,71
110,84
96,77
93,94
70,69
66,60
60,81
104,74
119,94
95,75
98,80
96,57
75,34
38,61
106,89
81,72
40,69
88,100
86,85
40,40
73,100
52,58
59,76
112,100
93,58
60,63
56,70
69,45
63,95
69,97
103,84
48,73
24,33
52,72
86,91
76,31
122,93
49,71
35,66
60,90
83,59
53,67
74,65
76,79
80,100
101,94
67,88
38,51
77,54
88,79
60,71
77,68
77,92
91,100
94,70
74,68
83,93
59,62
87,86
50,59
56,57
107,94
111,100
87,73
111,92
104,100
84,61
57,45
58,99
112,82
86,75
90,75
130,100
18,36
45,63
78,80
67,75
91,78
71,100
32,58
75,61
53,51
70,100
106,94
86,100
72,97
57,55
87,100
95,81
42,49
71,74
64,97
75,62
81,76
81,96
36,50
78,86
76,81
107,94
100,77
114,85
63,89
100,100
105,71
99,73
76,95
53,50
44,77
71,75
121,98
86,56
59,92
92,100
36,56
68,39
92,74
31,60
125,86
72,83
103,86
84,94
98,78
19,41
69,64
30,66
42,61
69,77
65,54
78,81
66,65
80,55
62,84
71,89
92,64
62,40
92,71
50,56
91,69
105,74
92,72
103,68
99,70
58,79
101,91
113,93
88,51
70,44
116,74
95,95
64,78
107,74
65,61
61,25
49,63
103,97
92,100
71,93
99,88
93,80
51,94
62,68
108,69
50,38
26,54
86,89
42,81
41,43
78,36
49,60
31,52
39,80
130,100
112,76
47,65
