potds,score
75,98
43,83
80,84
116,90
58,81
89,102
86,95
88,62
84,92
25,64
74,88
53,83
86,76
74,75
101,93
16,65
48,65
84,75
53,60
99,99
91,77
95,94
102,98
88,67
79,69
86,88
66,69
120,103
78,80
69,74
45,83
75,92
77,88
77,86
104,108
64,87
113,86
115,106
85,61
120,79
112,76
74,76
65,71
97,80
54,81
81,80
84,94
112,95
58,51
101,86
86,84
76,98
86,94
88,93
72,68
74,75
68,90
59,71
88,75
82,76
66,70
71,91
40,72
48,83
68,75
72,81
53,78
66,67
85,84
63,73
31,74
64,84
86,87
92,90
67,71
101,94
95,63
74,65
67,93
62,92
87,93
73,87
66,94
109,103
34,77
49,84
57,68
94,84
109,85
62,71
89,75
97,96
65,76
103,102
106,86
54,78
46,77
77,75
89,95
61,93
55,88
112,100
61,63
89,98
46,70
48,74
97,96
67,71
57,84
104,103
46,86
63,94
130,97
65,87
107,79
125,89
53,90
119,89
122,96
83,84
28,61
64,88
95,96
88,83
83,73
80,85
63,85
54,67
12,49
70,76
109,90
59,78
57,88
52,86
85,83
81,90
77,89
55,77
62,57
59,60
109,90
96,70
117,97
58,63
102,92
54,75
68,63
60,81
31,71
111,102
110,101
101,90
50,73
51,80
60,89
134,88
58,96
44,77
45,56
33,74
90,85
121,92
76,93
105,91
75,72
53,87
80,83
93,80
111,86
53,75
48,90
49,71
66,99
85,89
81,88
88,86
92,84
101,97
86,74
69,89
72,47
49,84
89,88
115,97
94,86
52,59
85,75
12,59
81,76
59,91
119,90
71,82
71,87
74,84
62,71
123,89
107,100
107,101
75,89
113,93
105,90
61,77
58,88
109,71
69,68
89,78
95,88
89,94
65,81
88,89
92,91
71,76
60,88
63,89
84,71
45,60
68,82
18,54
113,83
57,93
82,64
71,81
62,76
46,77
104,90
87,94
77,75
112,87
35,72
67,85
82,83
36,77
84,96
63,89
47,85
72,73
40,53
49,87
68,74
62,86
47,77
103,91
95,83
52,76
115,98
74,90
113,97
49,79
28,53
62,64
83,100
74,90
97,91
105,96
16,56
116,87
118,76
38,86
86,67
96,97
53,66
69,73
94,84
61,88
102,79
95,82
54,83
98,98
72,86
72,78
64,84
100,91
56,90
57,88
95,79
62,102
104,96
55,89
64,89
81,92
31,62
38,72
87,84
86,76
65,96
106,89
70,77
120,96
27,77
115,99
71,80
58,73
54,87
93,82
106,98
41,86
59,78
92,101
67,70
105,96
33,59
50,89
108,94
75,85
66,86
73,80
96,66
27,76
82,77
84,95
64,86
67,86
69,83
57,93
57,78
117,95
62,90
37,77
89,89
87,97
68,82
94,80
104,90
68,76
128,104
72,97
72,95
54,89
38,70
95,86
66,84
80,77
87,88
88,83
38,72
106,83
81,73
108,94
88,93
114,101
93,78
56,70
69,77
63,96
82,68
69,94
103,90
69,78
43,87
52,79
86,85
84,80
88,68
35,64
83,79
70,85
100,91
76,86
87,86
101,99
77,80
88,83
60,74
59,75
111,88
64,83
28,76
58,95
43,74
78,91
91,91
72,86
70,83
50,83
64,81
42,74
71,85
68,91
70,91
64,81
76,51
95,90
75,76
119,97
78,64
36,78
79,83
100,80
71,95
104,92
36,72
27,55
31,67
94,80
55,67
103,102
84,86
32,68
99,88
6,50
66,81
92,73
96,99
91,95
74,94
116,93
61,66
49,85
117,82
94,92
72,87
77,97
26,70
81,85
79,94
82,85
95,92
95,78
97,88
