potds,score
100,92
84,99
73,86
63,72
93,80
43,99
73,85
103,70
58,78
77,80
99,97
20,66
83,70
85,98
84,87
34,71
77,86
124,98
60,98
43,88
53,75
34,81
67,71
98,72
82,79
48,65
80,67
74,67
48,100
16,65
61,97
47,81
49,88
39,68
112,85
79,84
103,76
103,69
103,79
91,81
88,66
86,94
69,95
65,84
104,99
70,99
61,88
65,85
53,76
88,68
100,76
71,70
45,94
103,95
30,83
49,89
39,83
69,71
77,67
80,66
24,90
104,81
120,97
77,93
93,71
87,96
85,84
60,65
69,72
112,68
39,98
66,75
91,65
81,71
84,78
90,98
97,84
60,95
112,95
36,69
61,92
88,70
86,96
80,93
78,78
54,90
112,81
41,79
88,68
43,86
48,85
90,69
59,86
82,70
66,65
127,79
90,73
108,73
74,100
78,94
71,74
63,81
92,75
128,91
81,89
70,70
84,93
40,85
37,92
117,65
57,99
102,94
53,78
90,66
40,82
105,70
53,96
117,95
63,65
122,83
26,78
73,86
111,87
58,78
116,75
126,69
74,93
74,89
102,89
83,70
54,79
104,87
92,91
63,71
101,90
82,98
104,99
115,92
52,65
69,66
62,78
79,69
122,68
113,79
56,96
86,91
73,77
66,87
62,100
48,91
32,95
113,83
36,91
49,96
57,68
60,79
51,91
97,84
99,99
114,67
38,90
73,83
62,65
127,99
69,81
116,83
45,66
56,67
103,100
111,70
78,78
50,95
66,74
67,83
86,93
48,99
108,87
87,69
71,79
77,74
82,87
51,81
41,87
89,65
120,76
89,87
19,96
59,82
102,89
77,86
85,83
103,93
59,85
72,71
94,79
89,87
38,72
48,95
123,87
87,90
97,99
67,68
125,96
83,66
87,73
104,99
67,79
52,91
63,95
67,99
89,86
130,78
45,77
106,84
53,96
54,67
49,70
80,86
61,74
42,88
104,75
64,98
106,98
27,94
72,96
70,80
94,77
80,73
68,77
95,98
100,87
59,69
27,88
63,86
40,83
97,67
39,95
92,84
49,66
54,73
12,66
91,75
104,93
109,67
59,96
96,83
45,65
103,82
74,73
46,90
52,90
85,96
47,72
116,90
59,73
89,100
125,84
99,86
101,67
107,65
102,86
68,67
65,82
31,67
93,87
50,94
79,73
92,73
52,78
72,78
61,89
45,100
87,74
51,70
51,87
84,96
28,99
121,80
126,77
88,72
93,77
94,66
58,74
48,90
71,90
102,93
49,92
66,97
81,82
88,92
66,79
89,66
101,100
114,84
86,82
123,70
69,100
32,92
91,75
49,88
45,92
129,79
56,78
94,82
64,97
79,79
94,95
59,77
78,65
38,81
57,85
98,83
75,73
53,66
107,97
107,78
58,71
114,83
75,74
118,97
86,68
59,93
52,75
91,65
67,67
61,72
68,93
112,78
37,74
124,88
43,95
50,81
92,73
77,83
66,76
85,81
115,65
51,98
89,97
65,65
106,87
64,86
69,99
89,73
88,81
89,89
64,80
87,85
92,79
100,89
59,71
52,68
45,89
68,91
83,71
109,98
103,75
83,84
108,80
100,96
58,75
46,77
106,93
61,86
104,81
76,87
98,87
95,79
120,70
114,72
84,75
66,75
93,75
63,76
47,80
72,67
38,92
114,88
108,88
85,71
37,80
62,72
108,90
94,77
53,81
78,99
35,90
52,78
75,86
65,100
115,88
96,73
78,77
61,100
58,92
94,97
60,84
76,95
62,70
69,74
118,92
84,99
44,68
63,85
105,74
74,71
97,85
86,73
40,84
95,73
16,66
64,73
108,89
96,79
80,67
107,67
93,89
32,99
55,95
65,98
100,73
104,96
115,88
76,93
89,80
86,65
61,70
84,88
45,85
83,82
34,88
54,88
75,87
72,76
100,97
48,79
71,82
64,77
86,82
45,80
63,83
99,74
95,81
49,97
104,77
76,80
68,99
73,78
64,77
89,67
81,65
75,73
112,83
88,88
81,94
87,91
69,92
59,88
86,87
47,74
63,82
57,84
81,88
69,67
90,77
41,88
65,94
120,67
65,68
57,87
70,97
113,93
111,93
106,95
105,87
71,80
71,74
102,78
59,66
58,78
61,80
93,76
73,89
106,99
53,89
87,66
113,83
41,99
80,94
81,72
59,72
92,82
90,71
49,71
60,74
125,97
78,74
40,72
78,80
57,65
55,68
126,65
50,69
66,96
92,96
66,82
66,84
73,66
116,77
27,89
113,74
116,73
100,87
84,94
