potds,score
43,60
45,96
97,55
77,71
100,64
81,74
114,79
58,47
86,58
124,96
88,98
71,100
122,84
74,83
66,91
41,85
57,88
45,51
86,54
65,54
55,90
102,48
65,98
79,91
126,62
60,57
46,75
74,87
66,64
45,73
58,56
77,84
47,57
89,62
51,91
57,76
91,45
36,74
92,93
85,86
80,65
115,86
81,48
59,98
43,83
66,46
93,55
74,73
69,60
88,70
74,57
113,54
74,48
71,76
72,81
65,79
72,65
110,54
105,96
127,73
95,58
11,92
41,69
107,73
90,84
56,100
69,56
116,77
93,71
25,89
102,52
110,48
33,78
58,55
73,64
47,55
55,88
89,92
87,93
63,50
40,47
111,91
57,57
79,87
69,60
133,53
66,97
64,64
127,80
67,71
95,69
0,55
68,48
111,73
92,69
113,92
74,56
93,98
33,68
43,65
83,72
70,70
34,97
31,62
79,75
79,88
80,51
72,92
100,78
23,82
