autogrades,score
6,100
9,78
6,83
9,56
9,87
9,83
6,88
11,61
13,91
8,96
12,87
8,61
5,70
8,53
11,77
11,97
9,95
6,82
8,82
9,69
3,57
8,100
10,72
12,94
13,100
5,95
11,80
10,100
6,58
4,86
9,100
4,65
2,75
9,84
6,100
8,100
8,58
5,97
13,100
11,77
12,100
8,100
8,100
2,63
5,71
9,83
11,94
4,87
9,100
5,63
5,81
5,49
8,81
7,99
12,80
10,69
2,65
5,100
10,86
11,92
9,98
13,100
12,98
7,71
8,100
6,85
9,94
11,100
6,79
6,86
12,76
10,100
6,82
9,89
10,77
4,68
2,74
4,78
12,91
11,97
1,50
5,79
12,97
12,79
9,53
10,76
10,84
2,52
2,63
13,100
6,87
9,63
9,82
8,91
4,68
7,72
10,82
7,100
4,55
8,78
8,61
2,68
7,87
10,100
9,59
11,76
9,87
12,97
1,47
6,100
11,95
11,68
10,99
4,78
13,99
5,93
5,76
9,89
11,93
8,63
4,77
7,70
8,75
11,97
7,100
8,100
6,71
7,77
5,80
1,55
10,100
9,98
5,97
9,74
12,86
5,69
4,59
4,81
1,59
3,71
8,99
8,84
11,100
10,81
10,76
9,56
11,64
