autogrades,score
4,73
10,81
2,50
4,77
7,91
7,71
5,76
6,66
2,61
5,54
4,61
2,61
8,88
11,61
9,66
7,66
11,96
9,90
12,90
4,89
13,92
10,97
7,49
12,79
8,67
7,38
12,100
6,67
9,54
6,90
7,44
3,31
8,45
4,57
6,72
7,88
5,75
10,92
8,53
8,100
3,69
8,58
1,45
1,53
10,70
10,66
11,79
7,59
2,51
11,88
4,59
6,69
8,65
1,49
7,79
11,75
2,40
7,48
7,86
10,90
3,57
7,68
6,100
13,95
4,52
6,95
3,65
3,40
3,60
5,62
8,53
1,36
4,54
4,56
9,53
6,56
8,56
8,91
10,81
3,44
8,97
12,100
6,60
6,68
4,86
7,100
6,63
9,82
10,81
9,100
7,47
2,52
13,100
6,66
3,55
10,97
5,38
7,93
3,53
12,100
3,73
2,31
11,81
3,74
5,67
6,61
4,40
6,98
12,100
3,61
