potds,score
77,76
73,91
83,56
88,59
93,65
87,87
74,100
66,57
120,100
77,52
108,100
120,29
98,71
64,66
94,52
56,71
16,80
101,100
54,46
32,73
63,75
67,82
82,79
62,100
62,89
77,63
71,68
67,89
53,54
46,71
61,63
32,90
37,60
89,65
94,28
37,80
28,44
43,85
63,64
79,37
81,98
40,77
82,58
42,63
83,76
82,55
53,82
51,66
78,86
37,77
72,45
89,98
110,47
12,83
119,71
63,64
60,77
129,37
109,53
62,74
54,88
73,64
80,54
64,100
70,99
72,68
91,71
45,56
62,35
72,100
95,83
83,76
53,53
34,94
109,59
82,75
67,63
101,67
50,100
38,99
61,100
100,50
27,100
52,51
67,100
79,60
33,73
36,62
72,60
71,79
71,80
79,35
44,94
80,97
31,84
64,60
71,73
61,58
45,88
118,90
59,42
31,67
27,100
58,88
85,72
60,64
76,27
104,100
34,66
67,66
17,69
6,69
95,80
