autogrades,score
9,100
7,51
8,49
4,55
6,87
13,96
2,44
5,15
1,27
13,100
8,69
4,48
11,85
7,75
9,87
9,39
4,79
11,67
12,92
10,74
11,81
5,88
9,51
7,100
8,100
1,42
12,99
7,100
11,70
6,71
9,100
9,72
10,88
5,100
5,72
1,60
7,54
5,68
6,36
9,48
4,41
8,80
6,72
10,74
10,83
10,79
12,84
3,64
6,84
7,44
2,44
3,52
1,60
8,55
9,64
4,55
7,65
12,88
6,58
4,81
7,84
9,73
8,59
2,10
9,100
6,83
5,98
2,20
2,51
8,37
9,29
2,75
10,87
2,46
9,61
1,59
12,98
1,59
8,97
7,87
11,79
4,55
1,60
11,63
10,100
10,100
1,21
10,77
7,66
8,57
3,22
6,18
3,47
4,70
9,82
9,100
10,65
8,73
1,47
10,64
2,54
5,94
5,84
