potds,score
43,100
58,68
84,100
53,71
74,100
16,90
91,81
88,60
86,86
69,83
45,78
77,71
85,59
112,50
81,90
84,99
112,100
86,72
88,94
59,77
71,75
53,100
63,57
92,100
101,100
62,92
66,74
49,100
57,38
97,95
103,100
77,76
89,80
89,96
48,81
97,100
67,51
104,100
63,100
130,78
53,96
64,100
95,100
54,68
12,79
109,79
59,100
52,72
85,100
59,49
102,75
68,62
31,81
50,98
45,61
121,75
93,53
48,100
49,98
66,80
81,100
88,100
101,98
86,64
69,96
49,89
94,95
107,85
107,76
75,81
61,72
89,85
65,85
45,76
68,92
46,83
104,84
84,96
63,76
47,100
72,48
62,98
52,96
115,89
62,47
74,69
97,74
16,62
61,54
54,84
72,98
64,69
95,92
104,82
64,87
81,68
86,87
65,100
120,66
71,64
58,79
93,85
106,75
41,100
59,62
92,88
50,73
66,82
73,65
27,81
84,78
69,82
87,99
94,85
104,100
128,100
72,85
54,97
38,74
95,62
87,61
88,89
108,87
88,83
114,100
43,100
84,72
70,58
87,96
64,66
28,100
50,100
64,100
68,72
95,97
119,64
78,44
79,86
32,78
99,75
74,100
94,90
77,100
81,82
79,88
82,50
95,83
