autogrades,score
7,55
4,73
7,48
7,35
6,39
8,93
6,84
11,80
10,100
6,29
12,93
1,44
9,72
9,89
2,31
11,78
4,64
9,97
2,48
11,65
9,86
12,82
9,82
11,95
12,100
12,85
3,52
4,88
7,61
4,68
7,64
9,72
5,42
10,65
5,16
11,93
3,57
11,75
10,99
8,37
10,100
6,84
5,42
9,31
8,76
9,75
7,100
7,62
7,83
8,88
3,65
10,100
4,63
12,88
11,72
10,63
8,60
5,21
6,46
12,81
13,100
11,76
6,27
6,86
11,91
4,86
7,44
8,51
4,38
12,99
13,91
5,67
9,70
12,78
4,46
9,46
11,75
8,80
13,100
4,81
10,100
6,70
11,92
1,47
2,70
9,86
11,70
9,57
3,56
9,63
8,100
4,9
6,89
10,100
9,93
7,86
7,56
9,70
10,100
8,83
5,19
3,75
10,68
11,81
9,58
10,80
8,7
11,81
11,83
6,76
8,90
4,45
4,70
