autogrades,score
3,24
6,50
11,64
3,23
9,85
2,53
11,92
7,75
8,88
8,75
3,74
10,74
6,86
10,84
7,53
3,68
5,48
2,51
1,57
9,77
7,54
3,74
1,29
5,23
3,40
10,100
13,100
4,37
9,59
6,100
11,87
4,69
10,90
11,73
6,85
8,100
2,73
8,77
8,35
11,89
5,68
8,58
11,71
9,15
10,100
5,76
2,60
8,96
3,39
6,67
1,49
5,85
1,52
6,56
5,100
6,100
7,100
2,62
12,84
5,51
8,77
8,100
8,82
4,58
8,52
1,29
5,83
8,79
7,67
3,73
1,58
6,43
6,100
2,57
8,31
4,82
3,36
4,65
4,51
6,100
9,100
3,53
10,64
7,100
4,35
11,80
6,66
5,46
11,100
9,100
5,61
4,16
1,58
11,97
10,85
11,73
6,85
10,96
4,35
8,33
11,81
2,60
1,21
9,36
9,64
9,93
5,67
3,58
11,62
7,69
1,37
9,34
3,61
10,87
5,53
8,90
9,25
7,39
7,65
5,100
2,26
9,92
6,56
6,93
9,88
7,82
1,41
5,63
7,95
