autogrades,score
4,82
6,83
10,72
7,85
8,55
6,100
8,100
7,26
7,93
9,62
7,69
4,72
3,75
8,100
5,99
5,75
9,49
6,79
2,57
13,96
2,67
7,80
4,57
6,64
9,60
2,74
12,99
9,100
8,40
4,85
12,99
11,100
9,73
3,63
11,100
9,64
2,42
13,97
1,26
6,61
9,46
12,100
12,81
6,23
6,60
2,65
5,77
9,100
12,97
3,58
6,100
11,88
11,76
7,80
8,70
12,100
8,93
12,100
12,77
5,78
3,69
4,75
10,100
12,100
7,64
8,50
6,81
9,45
9,100
2,48
11,92
12,83
4,62
6,98
2,21
9,95
2,30
2,26
6,77
12,91
11,67
2,47
10,76
3,73
11,100
8,64
6,53
11,64
3,75
6,100
5,46
10,80
11,76
6,83
6,100
3,63
10,86
12,85
13,100
12,88
9,76
5,100
10,100
9,100
9,100
10,100
7,88
6,50
1,57
8,98
9,100
5,84
2,67
5,62
8,37
4,77
11,65
7,59
12,100
8,89
7,65
11,100
9,81
8,57
9,44
13,93
10,100
7,61
8,48
9,87
7,83
9,100
8,65
11,75
10,83
8,100
7,89
5,96
7,48
5,35
3,53
8,46
11,100
5,91
5,88
6,100
4,39
10,84
12,100
12,85
7,81
6,96
9,77
7,74
8,96
1,58
8,90
9,100
7,52
10,100
6,53
10,93
3,69
6,88
11,73
9,87
11,63
4,57
8,57
13,100
9,87
4,84
7,93
10,100
8,86
7,83
6,83
7,97
6,58
5,98
3,58
10,61
8,67
8,69
6,63
5,55
7,67
4,84
3,16
9,99
7,84
7,90
10,85
7,69
9,33
4,75
4,84
10,100
7,100
12,90
11,89
9,75
6,79
4,37
6,37
9,10
7,100
5,70
10,73
6,83
7,71
7,80
11,98
10,72
2,42
6,42
5,100
9,85
1,51
5,100
3,64
9,57
9,75
8,86
10,100
5,83
5,100
11,67
3,59
6,77
8,47
6,83
8,100
12,79
5,99
1,47
3,39
6,100
4,77
5,100
11,100
10,61
2,67
4,80
9,100
4,88
2,67
7,73
7,77
4,15
10,100
9,72
11,71
4,87
11,89
2,68
1,20
7,100
10,75
7,90
3,72
12,76
5,84
4,87
2,51
7,64
8,83
11,100
9,100
11,99
5,39
3,68
9,74
5,96
6,79
9,100
2,71
8,79
10,98
12,100
6,46
7,98
10,83
11,73
12,89
7,59
4,36
9,86
12,82
12,100
4,82
2,73
8,100
2,66
5,100
7,100
8,30
10,95
9,62
8,82
2,56
9,76
7,92
8,100
9,83
5,75
8,-1
10,79
7,70
3,73
6,83
5,65
12,82
7,97
2,69
4,88
9,64
4,80
12,88
8,91
5,83
12,77
6,83
11,65
12,97
10,88
10,100
13,98
11,63
5,55
12,85
12,100
6,91
4,85
10,64
7,81
7,42
12,81
10,100
9,100
11,98
9,46
10,100
13,100
4,73
3,55
10,90
3,28
11,88
7,71
2,52
8,72
2,73
7,70
7,92
6,68
10,100
8,71
8,97
13,100
12,77
2,72
3,59
7,30
12,88
9,78
5,100
7,100
2,74
9,93
8,80
7,89
3,52
12,100
7,96
3,75
7,100
6,100
3,64
1,45
1,7
6,88
8,82
7,68
7,27
12,100
3,63
7,43
12,100
9,99
5,90
4,50
6,42
5,89
6,68
6,95
8,82
8,79
9,40
8,45
11,83
5,60
11,84
5,74
7,100
8,81
7,84
8,79
9,29
6,100
10,89
8,100
6,77
8,68
5,100
5,49
11,88
4,55
6,99
