autogrades,score
7,56
13,98
12,100
13,99
5,82
8,82
6,91
8,77
7,85
3,42
5,71
7,52
6,100
3,68
8,100
3,42
9,62
7,69
8,79
10,83
7,72
3,75
5,99
9,49
6,79
2,57
13,96
8,70
5,67
10,90
7,80
9,60
9,100
8,40
4,69
10,77
5,64
7,94
9,43
9,92
9,100
6,54
11,100
9,73
8,80
11,91
7,68
1,48
12,88
9,100
6,63
8,90
6,43
11,100
8,80
7,59
11,100
2,42
13,97
2,61
5,41
8,98
8,85
11,96
11,79
6,100
3,54
12,100
3,74
12,99
11,100
12,81
7,67
6,60
1,35
6,81
7,71
6,90
9,48
13,100
11,88
8,94
4,79
13,93
7,46
6,95
6,48
4,51
8,70
12,81
6,49
9,64
5,51
12,100
8,93
6,93
13,100
8,83
13,97
9,100
10,72
5,78
12,88
8,71
11,61
6,43
12,80
10,100
6,43
10,79
5,93
12,100
8,100
8,50
8,33
3,62
5,100
9,44
8,60
9,8
2,60
7,75
8,81
4,77
11,100
11,100
4,73
6,55
11,92
12,83
11,65
7,46
4,62
8,80
1,46
11,73
5,43
10,83
7,82
9,67
2,47
11,92
2,24
9,100
10,93
4,85
9,99
7,74
11,64
3,75
6,62
8,27
6,47
11,62
5,92
8,95
10,90
11,76
4,73
4,63
1,53
4,70
6,100
3,63
2,48
8,34
9,40
7,76
3,71
9,100
8,100
8,52
5,100
12,100
5,95
4,50
5,100
5,79
6,86
9,98
10,74
13,100
7,76
5,50
3,59
9,65
9,66
8,90
3,48
11,98
1,57
3,70
7,100
5,80
6,72
13,100
10,80
9,100
10,100
8,37
8,99
7,59
8,51
12,100
7,65
11,86
11,100
12,87
10,89
7,99
8,57
10,81
7,63
9,44
9,93
11,73
3,48
13,100
4,67
9,100
12,86
7,60
13,93
8,71
12,78
5,100
10,81
11,69
8,65
4,76
2,40
5,75
3,53
11,100
10,100
8,61
9,54
7,48
8,79
7,100
11,100
9,82
6,100
10,84
3,52
5,85
7,81
6,96
10,85
4,66
6,82
3,70
9,80
9,95
8,96
1,58
10,73
8,42
5,70
8,90
9,100
9,53
8,94
10,67
1,41
7,36
10,100
6,91
11,100
9,72
10,64
10,100
13,100
3,69
6,88
12,82
11,73
3,74
10,83
9,87
8,57
12,80
7,83
4,84
9,100
13,95
10,100
9,50
12,100
6,71
8,67
5,52
3,74
8,100
12,87
4,52
7,67
10,100
4,66
1,42
1,40
7,99
7,90
13,100
10,85
13,94
6,100
7,58
9,84
9,33
9,87
7,86
4,75
10,95
8,82
12,90
11,89
8,57
11,99
6,79
9,100
7,56
7,72
5,93
4,35
10,100
6,44
7,100
9,54
7,84
7,35
7,90
5,81
9,99
7,82
9,10
5,72
7,100
8,86
5,79
6,57
7,100
11,90
7,71
7,80
9,96
11,98
10,72
6,83
1,20
9,100
3,64
8,90
2,69
12,98
13,96
9,85
8,63
5,75
8,85
5,90
5,100
3,64
7,82
8,100
5,83
3,59
7,67
6,82
6,77
1,60
8,47
12,79
11,100
5,75
13,96
6,83
11,100
9,83
3,64
3,52
12,82
7,77
6,100
10,74
12,100
4,77
9,54
11,100
5,54
7,43
10,61
7,46
11,69
11,65
7,48
4,88
10,87
10,100
11,85
2,67
1,36
13,100
7,73
9,31
2,70
9,100
11,68
4,48
6,98
5,62
10,100
3,35
9,89
4,87
7,68
2,66
5,88
10,81
6,95
11,100
10,89
7,64
12,88
9,60
6,100
8,74
7,100
6,99
6,39
9,100
11,77
9,97
13,92
12,100
9,92
8,100
5,84
8,37
6,100
3,75
11,81
6,100
10,92
12,100
3,34
10,100
4,71
7,95
4,84
10,80
13,98
7,64
9,100
6,89
10,81
5,96
8,93
9,74
6,93
5,93
12,100
9,66
8,88
2,52
4,86
9,100
4,32
3,64
11,100
11,97
6,46
10,100
13,97
9,74
8,79
7,89
7,87
11,100
12,100
4,53
6,100
12,82
7,90
9,100
3,61
10,88
12,100
12,83
10,100
5,97
7,58
9,65
8,100
4,47
11,97
9,58
3,62
5,84
8,82
3,70
10,79
10,88
7,52
9,82
7,92
5,84
11,85
7,70
7,41
6,84
9,40
8,63
7,65
5,26
2,60
6,82
8,100
9,79
7,97
2,69
2,47
4,88
5,98
8,90
7,74
9,95
12,88
8,84
11,93
2,63
11,65
10,100
6,64
9,68
5,83
8,89
1,53
11,100
8,64
2,56
12,88
11,71
7,77
6,100
11,68
11,65
10,70
8,49
10,88
6,29
10,72
4,32
11,100
12,100
6,65
9,43
5,98
12,85
12,96
3,26
2,41
5,53
12,78
5,59
7,80
10,64
7,81
7,42
12,89
8,97
7,100
5,93
12,76
6,91
8,77
4,60
11,98
10,97
9,46
10,100
13,100
3,55
10,90
11,95
9,70
7,71
2,52
7,73
4,74
8,100
7,70
6,63
7,92
1,48
4,28
8,71
2,53
13,100
13,95
7,93
12,77
2,72
3,59
7,83
1,53
5,81
11,100
6,79
4,77
7,30
6,78
4,86
4,59
11,93
2,31
5,89
12,88
6,88
8,81
7,88
7,100
8,97
3,34
8,100
10,81
1,50
9,72
9,93
9,93
8,80
11,79
9,73
7,79
5,68
3,52
9,65
1,43
8,81
11,100
8,88
3,60
3,75
7,100
1,45
8,82
10,78
2,37
12,100
7,100
12,87
4,70
7,43
4,82
9,83
5,100
4,77
13,100
9,91
9,100
9,60
5,91
13,100
8,61
8,90
6,100
5,90
6,79
9,26
6,42
7,73
6,63
6,95
8,82
8,100
6,73
7,82
5,92
7,87
10,96
5,52
8,100
11,83
8,87
11,100
9,88
6,41
10,75
9,91
5,36
5,74
5,100
13,100
8,75
11,90
5,84
11,94
7,97
10,72
6,81
8,81
10,70
9,88
4,64
12,77
7,84
8,79
7,25
6,66
9,100
10,88
5,76
7,100
7,75
3,59
9,42
6,77
5,30
12,100
8,73
10,69
1,48
2,38
9,70
12,86
2,67
6,80
