autogrades,score
1,29
8,100
3,70
7,61
5,59
7,47
9,86
12,97
11,76
11,73
12,77
7,96
7,91
11,97
9,45
5,75
6,90
8,100
1,18
7,100
5,100
6,-1
9,79
7,78
8,61
9,41
9,100
10,89
4,69
4,45
12,93
7,89
9,81
10,68
7,74
9,86
4,30
5,69
6,83
6,66
8,52
8,69
3,16
9,99
11,76
9,54
6,97
6,40
6,37
3,32
10,84
1,51
8,92
9,57
12,93
7,77
8,35
7,45
6,100
10,70
9,46
11,66
13,100
4,71
7,63
11,100
2,62
11,68
4,89
6,46
2,51
1,33
9,98
5,18
1,54
13,94
8,79
9,100
10,83
7,46
8,73
5,80
5,45
11,100
9,41
6,79
13,98
6,91
10,64
5,65
6,49
6,38
6,59
4,89
5,20
11,79
6,60
10,92
9,73
3,61
6,34
3,64
7,72
9,79
10,72
6,96
7,60
10,89
11,91
7,73
