potds,score
72,56
77,58
36,98
100,81
95,100
84,82
73,66
63,66
74,99
75,82
93,100
43,83
43,29
63,82
70,82
80,72
101,91
45,100
63,77
73,90
116,85
34,63
103,99
73,64
28,40
55,42
55,71
73,60
58,55
77,81
94,52
99,83
89,100
91,68
86,100
20,66
83,56
97,70
83,34
88,26
85,100
84,93
86,42
34,81
81,58
77,60
25,62
74,69
124,92
33,59
110,49
60,70
43,91
53,72
34,100
67,63
75,79
98,96
83,83
82,52
84,72
48,100
86,75
80,98
74,100
48,92
101,99
16,75
61,83
47,100
48,49
49,100
84,79
39,66
112,82
46,76
79,93
53,57
99,96
56,33
106,70
93,43
87,91
103,81
103,71
103,51
91,67
99,67
74,100
99,90
95,80
102,57
88,64
79,60
77,61
86,74
69,100
66,99
120,100
78,40
69,85
94,69
65,78
104,100
54,77
113,64
124,94
70,100
61,37
100,59
50,43
65,89
53,84
94,92
118,70
88,49
100,47
62,100
71,96
45,99
103,95
30,83
49,81
39,74
69,86
92,54
75,100
77,73
76,80
77,63
80,76
112,91
61,59
61,41
61,68
107,48
71,88
43,100
58,63
38,90
87,51
24,100
29,100
101,43
104,100
77,31
69,80
104,38
120,95
64,59
64,64
81,100
113,42
115,97
65,61
77,100
85,100
93,62
87,89
53,68
103,41
77,98
85,26
81,85
35,96
59,79
108,90
60,37
94,100
69,68
120,61
110,91
112,46
64,54
74,100
78,74
49,99
92,100
39,96
65,81
97,23
31,67
37,46
66,38
31,69
112,60
91,40
54,60
78,35
103,81
81,65
84,77
90,89
97,60
81,47
114,86
60,92
34,97
112,100
36,72
99,71
61,72
88,48
58,97
100,90
82,48
60,100
101,58
86,100
80,82
76,88
69,94
72,79
74,93
91,46
97,95
78,56
54,100
65,71
70,28
71,56
109,48
112,73
41,99
102,51
86,76
124,73
88,80
72,70
21,77
43,92
42,96
121,12
125,89
68,81
72,49
48,71
67,64
96,51
74,100
68,93
90,24
59,100
88,77
67,93
98,89
82,56
49,100
35,83
45,97
75,100
66,49
127,90
90,89
108,100
74,100
71,96
86,72
82,78
83,42
53,88
69,19
83,47
78,82
64,86
66,69
71,75
63,91
61,71
67,61
102,43
121,80
122,91
40,100
46,43
60,79
94,24
92,63
128,72
105,80
81,100
70,77
30,36
56,89
84,80
57,56
34,100
16,68
40,100
37,90
117,30
56,93
48,100
57,100
68,64
60,55
102,56
81,60
53,81
90,83
40,76
74,97
115,100
101,81
11,61
72,50
54,39
105,68
78,72
53,81
73,31
66,45
117,72
41,75
52,33
85,100
129,62
63,48
122,64
26,89
79,63
73,85
56,100
66,44
57,90
3,80
70,60
91,8
114,60
111,72
115,75
78,75
95,81
58,72
52,77
112,100
71,100
116,100
90,73
126,30
43,55
45,100
17,96
74,90
74,82
102,100
31,92
64,83
83,99
85,65
32,71
54,76
86,18
115,46
104,54
86,62
92,98
67,21
91,54
80,80
63,100
63,61
54,46
101,95
95,30
74,26
67,77
67,73
58,43
82,61
104,99
115,52
52,25
60,36
69,80
63,83
62,91
65,100
79,67
87,67
122,63
113,62
88,82
56,100
112,67
55,100
73,47
86,100
73,71
66,76
62,53
43,62
109,73
60,92
14,24
62,100
101,100
48,100
80,100
34,100
32,75
90,100
113,100
50,100
82,100
70,93
36,83
49,64
62,96
57,53
68,85
60,66
69,99
54,74
94,64
51,82
109,75
99,62
39,27
60,47
84,62
44,92
62,100
89,46
97,80
109,95
98,46
99,100
77,84
34,41
89,100
112,90
102,-1
114,93
117,81
96,86
71,51
38,68
65,76
25,73
73,79
60,63
62,34
67,97
127,79
98,53
59,70
69,60
116,69
65,79
45,46
56,68
103,83
53,71
111,81
84,28
78,78
106,100
50,98
54,63
66,62
97,48
67,77
46,86
86,96
48,79
108,97
87,93
61,81
46,34
32,82
37,48
71,87
77,85
82,78
124,40
65,76
97,71
13,59
51,86
41,100
51,100
89,50
80,18
120,86
89,100
78,74
116,100
76,100
19,73
59,45
95,47
102,63
87,52
61,88
77,79
31,100
85,60
115,100
55,76
103,38
98,95
90,50
112,100
35,43
62,83
79,78
64,79
61,100
120,86
49,98
84,83
103,78
94,74
59,100
126,61
60,41
96,58
61,100
49,76
60,50
89,76
72,70
94,72
86,100
89,100
71,89
81,59
38,69
58,98
94,21
79,100
46,100
113,65
99,46
48,100
123,98
87,65
63,66
70,88
97,88
79,90
58,48
67,50
51,98
74,89
57,57
48,70
50,62
125,100
83,97
