potds,score
77,58
36,98
95,100
84,82
73,66
63,66
93,100
45,100
63,77
73,64
55,71
20,66
97,70
86,42
34,81
110,49
83,83
47,100
49,100
79,93
56,33
87,91
103,81
99,67
69,100
94,69
113,64
65,89
118,70
39,74
38,90
87,51
69,80
87,89
53,68
35,96
59,79
60,37
94,100
64,54
49,99
92,100
78,35
90,89
36,72
72,79
91,46
70,28
71,56
42,96
72,49
67,64
96,51
98,89
86,72
63,91
61,71
46,43
94,24
128,72
105,80
56,89
84,80
37,90
11,61
117,72
41,75
129,62
56,100
3,80
91,8
115,75
95,81
71,100
126,30
17,96
74,82
102,100
85,65
32,71
115,46
54,46
52,25
69,80
63,83
79,67
122,63
55,100
86,100
62,100
101,100
32,75
70,93
68,85
44,92
99,100
114,93
59,70
53,71
111,81
50,98
37,48
124,40
51,86
116,100
77,79
31,100
35,43
49,98
59,100
60,41
61,100
72,70
71,89
58,98
99,46
123,98
87,65
51,98
48,70
50,62
87,68
67,85
86,100
77,83
100,99
61,59
106,44
80,74
35,48
60,67
40,93
92,76
76,78
91,90
79,21
57,88
46,81
108,61
58,93
116,50
65,69
125,43
47,81
89,68
100,52
64,70
94,73
78,57
61,100
49,73
87,67
51,87
52,72
126,36
88,38
7,57
68,80
42,76
81,95
47,50
78,68
91,100
45,77
80,52
69,52
98,87
94,100
41,40
67,100
78,32
57,40
63,54
85,84
53,49
27,89
86,100
52,95
91,74
57,56
83,72
60,72
63,93
43,100
61,42
56,86
89,43
32,79
88,85
92,91
51,20
45,47
68,98
113,98
100,70
84,34
72,93
61,70
65,77
131,69
53,74
67,67
95,100
73,67
67,52
80,18
110,45
44,43
108,62
37,66
95,66
51,46
105,48
37,82
30,68
120,98
77,76
69,60
87,62
84,100
44,75
63,94
96,68
112,66
98,88
95,88
105,81
88,95
67,89
97,64
33,100
61,88
93,86
55,100
74,100
83,11
100,45
89,86
94,92
117,100
44,56
83,100
56,92
81,34
87,71
49,81
34,71
106,84
32,40
110,33
100,84
48,100
122,66
72,93
58,18
111,100
47,94
49,97
49,100
70,97
123,74
63,46
69,100
63,100
52,53
81,94
41,100
49,66
65,28
57,82
108,90
100,84
103,83
102,86
20,97
112,47
32,84
106,64
57,78
79,77
126,80
91,88
133,79
85,84
85,9
127,64
100,60
78,99
71,71
88,76
72,88
31,82
100,79
110,100
79,65
58,82
46,47
89,90
107,79
71,96
42,84
72,93
104,63
116,68
86,53
83,100
24,56
77,88
59,77
67,41
76,61
74,100
65,100
87,70
104,26
98,78
105,59
68,59
86,100
109,80
52,91
58,100
83,100
64,69
50,77
60,87
60,97
93,8
113,74
21,53
110,95
49,100
47,100
92,20
59,68
80,53
109,80
50,27
20,79
72,83
77,83
31,62
50,86
56,59
104,69
90,100
43,61
130,81
87,62
58,100
84,73
85,59
53,68
46,98
79,59
95,60
83,34
33,65
95,90
34,72
81,37
84,100
60,57
74,100
114,82
53,82
53,100
86,76
44,100
88,31
92,100
68,79
92,26
87,100
72,63
98,100
19,73
42,87
102,36
57,15
92,41
30,90
71,78
113,97
103,25
92,66
89,31
50,42
86,30
95,48
60,95
39,70
