potds,score
72,56
36,98
95,100
74,99
63,82
70,82
101,91
63,77
116,85
55,42
55,71
94,52
89,100
91,68
86,100
86,42
25,62
74,69
75,79
83,83
84,72
86,75
101,99
48,49
84,79
53,57
99,96
106,70
99,67
99,90
95,80
79,60
69,100
78,40
94,69
54,77
113,64
124,94
50,43
94,92
62,100
92,54
75,100
77,73
76,80
112,91
61,68
107,48
71,88
43,100
58,63
38,90
101,43
104,100
69,80
64,59
81,100
113,42
115,97
65,61
103,41
77,98
81,85
35,96
59,79
94,100
64,54
74,100
78,74
49,99
92,100
65,81
31,67
54,60
78,35
103,81
99,71
100,90
82,48
60,100
76,88
69,94
72,79
74,93
91,46
97,95
109,48
102,51
72,70
68,81
72,49
67,64
96,51
74,100
68,93
67,93
49,100
35,83
45,97
75,100
86,72
82,78
53,88
61,71
67,61
102,43
121,80
40,100
46,43
60,79
56,93
48,100
115,100
72,50
52,33
129,62
56,100
66,44
70,60
91,8
114,60
78,75
95,81
52,77
112,100
71,100
90,73
43,55
31,92
64,83
85,65
115,46
86,62
80,80
54,46
67,73
58,43
63,83
88,82
112,67
73,47
60,92
14,24
101,100
70,93
68,85
69,99
54,74
94,64
109,75
99,62
39,27
60,47
84,62
44,92
109,95
112,90
65,76
25,73
60,63
98,53
59,70
106,100
54,63
97,48
46,34
124,40
65,76
97,71
51,100
116,100
87,52
31,100
115,100
98,95
90,50
112,100
64,79
120,86
49,98
94,74
61,100
49,76
60,50
81,59
113,65
63,66
79,90
58,48
51,98
57,57
48,70
44,100
30,80
65,72
113,100
62,80
46,100
86,100
107,37
100,99
119,59
48,51
122,100
87,65
117,86
90,100
82,87
93,89
87,99
88,57
66,81
57,63
83,44
63,93
70,73
35,48
103,100
60,67
116,100
48,86
56,60
80,93
73,71
76,78
77,100
75,81
79,69
57,65
100,76
78,40
61,75
76,53
67,100
59,100
108,61
57,54
62,48
93,79
119,100
117,100
57,82
54,100
60,84
100,52
73,85
110,81
101,96
32,85
107,66
71,82
64,70
78,80
96,95
60,96
134,58
94,73
38,42
98,70
58,90
44,100
60,53
75,94
87,67
64,41
86,36
33,100
106,91
70,100
52,72
91,64
108,100
62,100
76,69
105,88
127,82
75,73
71,74
41,83
53,87
111,57
68,80
111,83
91,84
71,100
81,95
85,100
47,50
90,100
77,71
89,67
69,52
70,74
41,100
98,87
58,52
85,67
77,100
89,66
