potds,score
28,40
81,58
33,59
56,33
118,70
53,68
110,91
112,60
34,97
101,58
65,71
21,77
42,96
125,89
83,42
66,69
30,36
68,64
60,55
11,61
79,63
91,54
95,30
74,26
60,36
90,100
117,81
80,18
78,74
61,100
84,83
96,58
86,100
71,89
79,100
77,83
83,89
99,60
74,35
49,86
79,70
109,53
43,69
94,20
111,85
80,85
78,57
45,78
90,53
7,57
39,44
75,96
69,60
130,45
4,98
27,89
114,100
61,42
117,88
106,37
47,76
46,94
35,86
130,72
95,66
64,43
37,82
28,77
77,76
50,93
90,71
68,41
77,81
116,68
118,20
62,95
97,43
49,81
32,40
98,100
8,90
100,68
56,74
99,100
112,38
101,69
75,86
70,36
42,90
75,100
94,78
85,9
90,51
64,83
72,88
51,93
37,80
16,88
67,33
76,15
109,80
89,53
93,8
69,28
21,53
47,100
68,64
111,38
113,78
82,69
86,57
92,23
101,79
108,67
47,69
71,100
70,41
88,31
27,50
87,100
27,24
112,100
60,49
29,90
56,88
59,76
117,29
60,75
110,96
