autogrades,score
3,60
6,55
13,93
4,64
11,100
8,82
11,63
7,80
8,100
6,92
9,96
10,90
3,21
6,63
13,97
9,84
11,92
11,100
13,91
5,92
10,100
4,64
13,100
9,53
4,56
4,39
8,79
6,63
8,46
10,100
4,32
7,94
10,100
9,79
12,96
11,73
6,36
9,79
6,46
8,34
13,98
12,92
8,61
5,93
6,62
4,51
5,66
6,81
10,83
7,49
9,68
8,74
10,99
5,67
9,100
8,76
13,96
12,92
8,94
3,60
5,64
6,100
2,73
6,100
8,88
13,100
12,100
7,77
8,86
6,85
9,37
11,95
6,63
9,67
6,91
6,83
6,76
2,65
11,100
8,13
5,66
3,36
12,100
9,76
4,76
4,51
7,59
10,69
7,100
6,97
11,85
6,71
2,48
9,60
9,41
4,60
11,100
5,93
12,87
2,25
7,97
2,71
8,82
11,100
6,83
7,63
12,100
11,100
1,35
2,52
5,54
10,100
6,82
2,75
6,70
9,43
4,36
9,98
6,83
11,80
6,83
13,94
12,100
8,77
9,83
7,69
5,100
4,70
12,82
12,79
10,82
12,94
7,70
3,46
3,56
8,63
9,88
6,100
10,68
6,78
4,53
11,100
4,81
1,43
13,100
1,23
5,67
2,39
9,82
3,48
6,58
10,91
3,40
6,90
6,48
11,86
12,100
2,69
9,100
6,60
1,53
6,94
9,14
6,96
11,76
2,71
11,70
8,36
7,100
8,74
9,46
6,76
2,28
2,38
10,89
6,91
4,82
6,100
12,79
6,95
9,27
3,56
7,41
7,43
9,74
12,79
6,38
10,70
2,30
11,91
5,56
4,85
10,100
9,79
2,37
11,83
6,81
9,100
12,88
7,83
11,76
11,83
3,68
10,100
6,97
4,61
10,100
8,60
7,100
10,97
10,90
12,96
2,70
12,81
6,37
10,100
5,70
10,97
6,78
4,19
9,51
3,31
7,87
9,85
1,39
5,69
2,69
12,83
7,82
4,57
8,88
11,89
4,-4
6,76
5,94
4,32
4,79
5,60
7,34
9,100
12,100
5,19
6,91
2,63
5,84
6,100
9,75
9,86
4,86
11,100
12,100
2,55
9,100
11,76
9,100
11,100
10,81
8,81
9,91
4,49
11,91
6,5
3,43
6,72
9,81
6,89
9,78
11,100
2,63
5,78
3,44
7,97
13,100
5,80
4,48
6,75
4,44
7,46
7,74
5,97
7,100
9,91
7,22
12,90
6,62
9,47
12,88
3,52
7,100
11,74
5,28
8,78
8,100
5,91
6,71
11,64
1,55
5,74
8,87
8,96
4,58
5,100
8,100
11,61
7,74
9,56
7,29
7,75
4,54
8,80
8,23
9,55
5,65
4,90
4,34
10,100
4,67
9,57
4,68
10,82
7,54
13,100
13,100
5,30
8,78
2,73
10,65
6,6
7,72
7,68
4,73
5,85
8,61
3,64
5,81
6,100
11,85
6,89
10,80
6,47
2,56
5,85
11,82
8,72
7,83
9,100
10,99
7,69
8,96
2,67
4,63
11,68
6,25
4,51
3,41
3,53
8,90
7,10
7,65
11,93
9,87
3,45
3,53
10,87
5,38
6,6
4,81
9,93
6,54
1,56
9,100
6,41
1,37
6,23
12,84
6,99
7,96
5,93
5,61
5,60
11,63
8,75
7,84
8,100
6,51
13,93
4,50
12,100
7,89
5,60
7,46
6,59
12,87
6,99
6,8
10,100
11,82
12,84
6,100
12,100
2,68
7,83
7,91
8,98
10,81
8,97
9,91
6,55
7,100
6,68
11,86
12,78
12,80
13,91
9,60
6,69
6,68
3,64
3,28
2,32
10,62
6,73
9,82
8,48
11,68
9,100
9,40
8,99
11,66
8,39
5,99
6,99
2,9
9,91
7,72
9,75
8,50
5,56
10,81
9,71
7,87
8,79
2,39
8,100
5,92
2,65
8,63
7,72
7,61
6,65
7,37
4,73
6,100
8,62
4,89
8,22
11,97
10,100
11,95
12,80
5,45
8,45
8,59
9,99
10,92
10,75
12,100
10,90
7,76
7,20
5,70
3,45
13,100
9,78
7,74
6,20
10,94
8,82
4,63
10,77
8,100
9,100
1,41
9,12
8,96
9,84
7,62
10,84
8,87
9,89
11,63
3,46
9,70
9,64
10,82
9,78
13,100
4,45
10,100
11,83
3,35
8,99
2,45
8,80
7,47
2,68
3,71
10,99
10,89
11,94
10,100
9,72
7,98
6,73
8,85
4,73
5,57
3,73
12,100
11,71
7,47
5,75
12,82
7,52
8,84
6,100
12,84
3,47
4,63
8,83
5,12
10,81
13,99
5,62
1,33
6,100
10,100
4,85
6,54
12,94
11,92
12,99
6,45
3,31
11,88
5,92
3,46
2,61
9,58
10,100
9,93
10,85
9,78
4,87
4,89
5,61
5,94
8,62
11,79
7,100
5,70
6,98
4,74
12,96
10,100
5,79
4,86
2,68
9,53
4,30
8,80
5,78
7,93
5,92
9,79
10,69
5,100
6,50
12,86
9,87
8,87
3,73
2,62
6,76
8,64
10,100
5,54
6,77
6,75
5,100
7,100
8,85
7,36
10,80
6,76
8,100
4,73
12,99
8,40
9,65
3,75
7,74
10,98
13,93
7,52
2,74
12,100
5,55
7,50
5,80
2,66
6,62
1,53
7,86
1,25
5,74
5,48
9,30
6,92
11,78
11,91
8,66
6,99
4,59
8,78
13,100
5,47
9,96
7,64
6,82
4,73
9,77
6,78
7,62
5,39
6,97
3,62
8,56
5,3
7,74
12,81
4,86
5,87
5,100
11,97
10,92
6,77
8,91
5,77
5,65
6,50
10,77
6,83
10,73
12,77
7,57
11,63
6,72
3,37
1,60
5,100
10,72
7,82
8,100
11,63
8,100
9,35
9,61
11,69
1,44
9,90
7,29
7,15
7,90
6,64
6,52
11,88
12,76
11,80
8,52
7,36
5,47
8,89
5,79
3,67
5,70
6,92
4,84
6,46
4,56
10,100
12,100
6,85
6,43
4,34
12,100
1,39
13,94
8,41
6,49
1,4
6,100
4,61
9,70
6,72
8,59
11,95
11,94
9,71
7,96
9,90
7,72
6,78
3,66
8,90
9,85
6,90
8,100
10,62
10,100
5,56
7,87
2,29
8,75
2,72
4,54
6,100
11,98
5,72
8,100
9,45
5,100
7,63
7,49
10,88
3,44
8,98
7,83
12,100
11,68
6,54
6,34
3,64
1,19
12,89
2,69
11,94
6,65
6,64
12,81
5,100
5,100
2,69
10,92
9,68
6,100
5,85
4,82
4,54
8,100
12,84
9,100
6,74
5,73
7,52
7,66
4,77
9,76
8,97
10,68
4,54
1,37
7,75
8,59
6,46
2,56
12,86
13,92
12,100
5,99
5,88
2,61
7,61
8,49
11,79
6,83
7,48
7,100
11,76
10,91
5,94
7,90
5,100
1,50
12,81
6,100
7,75
6,34
2,58
1,41
5,59
5,86
11,63
6,92
11,73
9,68
5,90
6,100
1,50
7,80
5,62
9,80
7,100
6,51
5,94
7,91
6,49
8,62
5,90
7,96
9,70
6,93
9,93
2,59
8,84
2,69
2,5
9,46
6,44
8,89
11,74
9,54
7,73
12,100
8,83
3,71
12,80
1,52
11,63
4,65
5,54
4,71
10,94
2,71
5,86
7,4
8,78
7,44
9,47
7,40
12,100
4,78
4,50
9,85
9,72
12,100
4,81
5,21
6,78
9,67
6,88
9,49
9,100
9,39
8,51
7,45
6,84
6,66
10,67
6,56
7,53
3,43
13,100
12,79
12,100
5,56
7,79
4,64
11,67
12,76
10,75
6,84
8,15
7,30
5,100
13,99
7,88
4,78
6,22
8,92
11,86
9,100
7,100
11,68
10,86
7,100
6,63
6,77
5,57
10,77
2,57
9,82
10,100
10,81
9,100
8,37
9,83
11,70
9,100
7,77
11,89
7,65
10,68
8,35
3,34
7,100
3,28
5,39
7,48
5,100
11,63
12,100
8,56
2,39
2,58
4,25
8,71
4,73
4,39
11,100
12,79
7,83
7,100
6,73
9,31
9,24
2,52
11,85
5,60
10,88
7,82
9,66
5,100
9,75
2,65
9,88
6,70
7,100
4,26
7,71
2,72
6,75
10,100
1,33
9,98
10,72
7,79
9,88
8,52
8,82
7,83
10,100
6,100
5,100
7,91
9,89
12,84
5,35
6,81
6,67
9,100
8,99
2,49
5,54
1,24
10,61
5,32
8,67
7,28
11,100
7,88
11,84
11,61
10,100
8,100
10,92
10,88
7,81
5,58
4,89
6,91
9,80
9,46
7,99
6,72
13,100
10,68
9,86
5,73
5,100
10,85
10,62
7,57
5,42
4,80
6,88
8,16
9,66
12,83
9,81
9,80
13,94
6,78
1,59
8,75
7,81
7,54
12,100
2,17
10,75
6,97
9,100
11,79
5,74
7,45
6,89
10,65
3,62
4,86
9,62
4,50
11,80
4,28
8,99
6,100
5,79
2,70
8,97
2,75
11,98
7,71
1,58
5,100
9,92
4,69
7,53
5,39
2,75
5,100
5,96
6,78
6,53
9,62
9,98
8,84
5,33
10,100
7,32
7,100
9,-1
11,86
11,76
4,62
10,100
3,42
10,77
9,64
1,56
10,61
8,73
6,28
4,83
5,100
13,100
9,69
5,76
12,84
11,100
1,28
12,100
12,81
9,55
5,56
12,84
9,89
7,65
8,100
3,58
3,53
5,42
5,57
11,76
8,71
8,75
7,58
11,66
9,86
2,69
4,90
2,61
6,100
9,44
4,80
7,65
5,39
11,69
12,87
12,94
8,40
6,81
1,42
6,61
6,18
5,100
12,100
3,72
4,71
9,33
10,78
10,89
4,77
10,76
5,84
5,93
11,61
9,65
5,71
10,100
7,54
10,80
6,72
6,98
5,1
11,65
7,53
5,43
4,42
3,44
6,100
5,55
10,100
10,85
12,100
4,50
9,47
6,18
4,90
7,58
2,68
13,100
7,92
12,82
8,48
10,68
10,74
3,71
11,72
11,73
12,94
8,100
4,85
10,76
12,100
9,72
3,31
8,86
5,100
10,93
11,71
3,50
4,58
11,100
12,100
9,63
7,83
8,80
10,88
5,100
10,67
12,83
13,91
8,100
7,87
4,22
10,72
2,73
9,100
3,60
7,81
9,89
10,100
13,100
6,100
10,93
3,56
5,48
6,83
12,100
11,64
5,15
9,42
4,83
6,85
13,96
5,62
8,39
7,32
2,72
12,80
8,86
5,74
8,100
6,64
6,100
4,60
6,100
10,100
11,100
10,95
8,82
7,39
9,29
7,71
2,45
5,42
1,60
6,81
6,45
7,67
9,100
6,56
7,92
7,94
6,75
13,100
5,82
11,82
9,45
12,83
2,45
12,88
9,91
4,69
13,100
5,87
13,100
7,77
2,21
11,99
7,100
6,69
11,100
4,56
4,72
8,100
5,22
9,78
6,91
12,100
13,100
3,65
9,100
7,95
6,65
2,69
3,43
7,84
8,97
10,98
1,25
11,74
4,79
8,73
9,85
13,99
12,87
13,100
8,29
7,56
10,73
12,90
8,72
7,54
6,18
9,80
10,63
7,80
9,70
2,33
9,64
5,100
2,62
8,70
6,89
2,75
6,100
8,76
3,27
3,59
7,46
11,87
10,100
7,100
7,67
7,51
11,99
12,100
6,71
4,90
12,82
12,100
5,61
11,87
9,100
13,100
8,41
10,80
8,57
3,75
6,84
4,70
5,94
9,83
2,73
2,68
13,100
10,68
9,93
7,79
6,31
11,100
6,68
12,100
8,100
5,100
10,61
7,92
4,90
3,51
1,38
5,100
5,100
8,55
10,83
13,100
13,98
6,78
3,19
5,97
11,84
8,30
9,80
7,40
10,64
13,100
8,73
5,100
12,94
3,71
2,72
13,100
8,60
12,100
10,100
7,80
12,90
7,79
10,100
1,50
7,75
4,69
8,100
7,62
9,76
9,46
7,54
8,100
4,76
9,47
6,39
11,100
5,79
13,100
5,90
6,100
4,67
8,100
9,67
6,83
11,100
5,67
7,46
6,100
9,51
10,100
9,69
12,98
9,67
10,81
11,78
6,71
12,100
6,80
2,56
11,63
7,100
6,100
4,80
3,56
6,51
10,71
6,91
4,52
4,72
9,46
5,39
4,76
11,77
8,91
9,26
11,64
12,86
2,67
7,59
9,45
