autogrades,score
4,64
8,82
11,63
7,80
9,96
10,90
5,92
13,100
8,46
10,100
7,94
11,73
6,36
13,98
12,92
5,93
4,51
10,83
8,74
10,99
5,67
9,100
8,76
12,92
3,60
6,100
6,100
8,88
13,100
7,77
8,86
6,85
11,95
9,67
6,91
6,76
9,76
4,76
4,51
7,59
2,48
4,60
7,97
8,82
11,100
11,100
1,35
10,100
6,82
9,43
4,36
6,83
11,80
6,83
13,94
12,100
8,77
9,83
12,79
10,82
11,100
2,39
9,82
11,86
2,69
9,100
9,14
8,36
8,74
2,28
12,79
7,43
6,38
5,56
4,85
10,100
9,79
6,81
12,88
7,83
11,83
3,68
7,100
10,97
5,70
10,97
7,87
9,85
12,83
8,88
4,79
5,19
6,91
9,75
2,55
9,100
11,76
9,100
11,100
6,72
9,78
11,100
7,46
7,74
7,100
9,91
6,62
7,100
11,74
5,28
5,91
1,55
8,87
8,96
4,58
7,75
8,80
5,65
9,57
4,68
10,82
13,100
7,68
3,64
6,89
6,47
8,72
7,83
9,100
8,96
11,68
3,41
8,90
3,45
10,87
1,56
9,100
6,41
1,37
12,84
7,96
5,61
11,63
8,75
8,100
12,100
7,89
5,60
10,100
12,84
2,68
7,91
9,91
6,55
6,68
12,78
6,69
11,68
8,99
9,91
5,56
7,87
2,39
5,92
7,72
7,61
7,37
4,73
6,100
4,89
11,97
11,95
5,45
8,59
10,92
10,75
12,100
10,90
13,100
9,78
7,74
10,77
8,100
1,41
8,96
9,84
9,89
11,63
9,70
9,78
4,45
3,35
8,85
12,82
7,52
6,100
4,63
6,100
10,100
4,85
11,92
3,31
10,100
9,93
9,78
4,87
4,89
5,94
4,74
10,100
5,79
2,68
8,80
5,78
9,79
8,87
6,76
8,64
5,54
6,77
6,75
5,100
7,36
10,80
6,76
8,100
12,99
9,65
3,75
13,93
6,62
9,30
11,78
8,66
6,99
8,78
13,100
7,64
4,73
7,62
5,39
6,97
3,62
12,81
10,92
6,77
8,91
10,77
6,83
12,77
1,60
10,72
9,61
1,44
7,15
7,90
7,36
5,79
3,67
6,46
6,85
1,39
8,41
6,100
4,61
6,78
11,98
5,72
9,45
7,63
10,88
6,34
3,64
12,89
6,64
5,100
2,69
6,100
4,54
7,52
4,54
8,59
2,56
5,99
7,61
7,48
5,94
5,100
6,100
7,75
6,34
2,58
5,90
6,100
1,50
9,80
7,100
6,51
5,94
8,62
7,96
6,93
11,74
9,54
12,80
2,71
5,86
4,81
5,21
6,78
8,51
10,67
7,79
11,67
12,76
6,84
8,15
4,78
11,86
9,100
7,100
11,68
10,86
6,63
10,77
2,57
9,100
7,65
10,68
5,39
12,100
8,56
2,58
8,71
12,79
5,60
10,88
7,82
9,66
9,75
2,65
9,88
7,100
4,26
6,75
1,33
9,98
8,52
7,83
10,100
9,89
1,24
7,28
11,100
11,61
10,88
5,58
9,80
10,85
7,57
12,83
9,81
6,78
1,59
12,100
11,79
6,89
11,98
7,71
1,58
9,92
4,69
5,39
2,75
5,96
5,33
10,100
11,86
8,73
6,28
4,83
5,100
5,76
12,84
12,100
9,89
11,76
8,75
9,86
2,69
4,90
6,100
5,39
12,100
3,72
5,84
10,100
6,72
5,1
5,43
3,44
6,100
5,55
10,85
