autogrades,score
3,60
8,100
6,63
11,92
4,32
5,64
6,97
9,98
8,63
9,88
4,61
12,96
3,31
1,39
9,86
12,100
11,91
5,78
7,97
6,75
8,100
7,72
2,56
6,54
3,64
7,20
10,94
2,45
10,99
11,94
6,73
6,54
12,99
6,45
5,61
11,79
5,70
8,85
10,98
5,55
7,86
6,92
11,91
4,86
11,97
5,65
3,37
12,100
6,54
1,19
13,92
9,70
9,85
9,100
12,100
7,88
11,100
7,83
2,72
6,100
7,88
8,100
3,62
9,62
6,53
9,98
4,62
1,56
11,69
10,89
7,54
8,100
10,72
8,100
6,100
12,83
13,100
7,95
8,73
12,87
10,73
7,46
8,100
10,83
3,71
12,98
9,67
6,71
2,67
9,43
11,77
8,71
8,79
11,97
9,80
4,44
10,81
9,59
4,40
9,30
1,45
11,83
12,76
8,82
5,56
9,82
13,91
10,90
9,68
5,21
7,57
3,64
7,98
9,83
3,55
8,100
6,71
9,83
7,88
10,88
6,36
9,85
5,84
6,58
12,91
8,100
9,80
10,95
11,66
5,72
8,98
12,82
5,94
6,91
