potds,score
80,84
73,53
110,68
46,83
102,71
87,53
29,81
64,58
97,27
37,41
70,19
83,43
105,97
57,47
78,54
3,73
87,60
43,59
109,87
80,100
34,100
50,98
89,48
34,39
96,75
84,22
76,87
95,46
103,98
58,83
99,33
50,58
78,62
125,92
70,74
12,77
55,90
95,52
96,47
58,100
70,43
79,100
118,49
49,83
80,68
58,37
53,88
19,91
20,62
48,84
103,44
110,71
71,40
54,49
29,82
88,70
45,67
84,32
113,100
131,54
53,75
112,74
45,79
65,100
41,64
100,100
96,28
95,53
56,76
36,53
50,31
83,15
72,39
104,72
69,74
57,45
44,42
103,100
122,65
113,43
72,84
26,79
106,78
49,84
91,100
106,63
64,65
67,86
110,99
62,71
106,60
80,39
63,100
134,48
105,70
100,80
73,24
90,80
68,75
99,95
89,59
20,54
58,97
94,100
82,63
55,58
56,79
81,71
90,100
43,49
