potds,score
70,97
91,79
106,66
54,83
124,100
50,54
94,75
92,69
76,82
61,56
101,43
81,91
103,53
77,94
81,96
78,91
103,91
100,97
60,100
74,81
97,100
68,94
67,84
45,100
52,34
70,65
52,81
88,84
112,51
60,99
14,8
69,80
39,28
60,32
112,99
25,71
98,65
87,64
98,99
60,47
81,47
113,62
113,100
48,50
90,100
70,66
100,73
78,57
61,63
67,100
57,84
73,94
32,72
107,66
71,90
70,100
91,68
62,100
127,74
71,66
91,79
71,100
90,92
41,100
77,94
113,39
118,100
103,100
107,35
77,28
116,100
86,63
81,84
83,84
62,68
89,73
74,99
42,100
69,70
83,97
64,78
63,84
83,100
112,58
72,87
71,94
120,33
79,93
41,100
34,81
48,48
66,62
72,39
88,100
101,56
71,75
72,88
98,99
96,100
51,100
106,63
50,70
53,33
108,75
115,27
93,90
70,100
52,100
45,100
126,100
53,51
127,71
118,64
62,55
49,26
52,73
48,88
121,59
28,55
54,99
53,58
109,72
85,68
70,83
40,86
88,86
40,98
60,68
38,77
77,43
111,15
87,100
67,100
75,84
86,28
81,98
78,100
76,94
107,55
100,100
71,93
92,100
105,100
92,100
65,67
108,46
42,100
78,51
31,24
130,86
47,63
